Cycle,BIC,AIC,AUC,psAUC,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold.1,Type I.1,Type II.1,Policy Loss Function.1,c.Threshold.2,Type I.2,Type II.2,Policy Loss Function.2
c.bn215,-83.94693444,-90.32968153,0.674926393,0.604730364,0.134897932,0.47607598,0.330188679,0.335672902,0.080876797,0.506612166,0.287735849,0.397174008,-1.002927779,0.862947824,0.009433962,0.265488121,0.134897932,0.47607598,0.330188679,0.43230979
c.poly420,3.573775997,-2.808971097,0.577210369,0.601115562,0.165135509,0.497956239,0.330188679,0.35698498,-2.274444322,0.699927867,0.080188679,0.390058273,-2.563105471,0.720846357,0.066037736,0.262480322,0.165135509,0.497956239,0.330188679,0.447625971
c.hp400k1,-121.5910083,-127.9737554,0.673284126,0.595985292,3.057810941,0.444097139,0.325471698,0.303154095,3.057810941,0.444097139,0.325471698,0.384784418,-9.987321629,0.860062515,0.004716981,0.261320641,3.057810941,0.444097139,0.325471698,0.408509507
c.bn4,-169.1186467,-175.5013938,0.689240656,0.594278605,1.284023624,0.383746093,0.325471698,0.25319289,1.284023624,0.383746093,0.325471698,0.354608895,-3.46146263,0.903582592,0.014150943,0.280980438,1.284023624,0.383746093,0.325471698,0.366263774
c.bn415,-89.61470485,-95.99745195,0.666949829,0.592887668,0.4434593,0.479201731,0.29245283,0.315162957,0.4434593,0.479201731,0.29245283,0.385827281,-2.422758146,0.88050012,0.028301887,0.283961357,0.537389118,0.456600144,0.330188679,0.418676705
c.bn520,-99.76737067,-106.1501178,0.674427361,0.592836631,0.501641476,0.423419091,0.330188679,0.288308291,0.501641476,0.423419091,0.330188679,0.376803885,-1.661942473,0.839144025,0.037735849,0.278158302,0.501641476,0.423419091,0.330188679,0.395449968
c.stm15,-79.55308991,-85.93583701,0.657504525,0.592447386,2.002684612,0.477759077,0.316037736,0.328133586,2.002684612,0.477759077,0.316037736,0.396898406,-6.793045091,0.823274826,0.037735849,0.273397542,2.002684612,0.477759077,0.316037736,0.429242674
c.hp125k1,-92.28970907,-98.67245617,0.656204775,0.592443303,2.521582827,0.454676605,0.330188679,0.315755379,2.521582827,0.454676605,0.330188679,0.392432642,-8.888406419,0.8605434,0.014150943,0.26806868,2.521582827,0.454676605,0.330188679,0.417330227
c.hp221k1,-106.8842029,-113.26695,0.665637603,0.592120067,2.664131578,0.456119259,0.316037736,0.307924629,2.664131578,0.456119259,0.316037736,0.386078498,-6.640754681,0.808367396,0.028301887,0.26232154,2.664131578,0.456119259,0.316037736,0.414094802
c.linear15,-66.34721142,-72.72995852,0.64737759,0.591600167,2.634371585,0.462611205,0.330188679,0.323033691,1.97852459,0.490262082,0.301886792,0.396074437,-9.420928962,0.844914643,0.028301887,0.273285714,2.634371585,0.462611205,0.330188679,0.422884447
c.hp400k15,-67.12275276,-73.50549986,0.647199526,0.591222491,2.622265763,0.459245011,0.325471698,0.316837806,2.622265763,0.459245011,0.325471698,0.392358354,-7.203100907,0.814618899,0.04245283,0.274102651,2.622265763,0.459245011,0.325471698,0.419113017
c.hp221k15,-66.86260916,-73.24535625,0.646127743,0.59055152,2.502982027,0.462611205,0.320754717,0.316892715,2.502982027,0.462611205,0.320754717,0.391682961,-7.093754602,0.816061553,0.04245283,0.274535447,2.597732155,0.457802356,0.330188679,0.419518253
c.stm1,-89.22277215,-95.60551924,0.65232594,0.590334442,2.206420274,0.468381823,0.330188679,0.328406096,1.907604365,0.483529695,0.311320755,0.397425225,-8.645577953,0.867275787,0.014150943,0.270088397,2.206420274,0.468381823,0.330188679,0.42692388
c.bn420,-102.9878602,-109.3706073,0.677401135,0.590219438,0.811541834,0.424140418,0.325471698,0.285826921,0.811541834,0.424140418,0.325471698,0.374806058,-3.272092451,0.90141861,0.018867925,0.28363313,0.811541834,0.424140418,0.325471698,0.394539802
c.poly315,3.747512559,-2.635234536,0.566636574,0.590131654,-0.471024149,0.551094013,0.311320755,0.400625223,-1.99263764,0.676604953,0.127358491,0.401981722,-3.353004289,0.769175283,0.066037736,0.276979,-0.471024149,0.551094013,0.311320755,0.479162036
c.hp125k15,-66.22697004,-72.60971713,0.644218948,0.589387189,2.262362174,0.465256071,0.320754717,0.3193468,2.192686677,0.469343592,0.316037736,0.392690664,-6.208274912,0.804520317,0.047169811,0.274374963,2.262362174,0.465256071,0.320754717,0.421905665
c.bn315,-144.4817064,-150.8644535,0.668708915,0.588167058,0.186237319,0.477999519,0.330188679,0.337508104,0.134957296,0.499879779,0.301886792,0.400883286,-1.51744138,0.879297908,0.014150943,0.273695033,0.186237319,0.477999519,0.330188679,0.433656267
c.hp221k20,-87.55365449,-93.93640159,0.653012108,0.587478394,1.89014552,0.490262082,0.316037736,0.34023676,1.89014552,0.490262082,0.316037736,0.403149909,-8.736820146,0.844193316,0.018867925,0.266465542,1.89014552,0.490262082,0.316037736,0.437994778
c.hp125k20,-84.29750111,-90.68024821,0.650076896,0.587468867,1.803290502,0.491945179,0.325471698,0.347941886,1.803290502,0.491945179,0.325471698,0.408708439,-9.048370373,0.859822073,0.014150943,0.267852282,1.803290502,0.491945179,0.325471698,0.442003135
