"BIC","AIC","AUC"
"null",0,0,0.5
"c.bn620",-128.651354308095,-134.712841174966,0.701091747162739
"c.ma1",-152.970470595382,-159.031957462254,0.69857586219561
"c.bn6",-167.633033472172,-173.694520339043,0.694240781209831
"c.hp400k1",-145.404598669253,-151.466085536124,0.688156517427551
"c.hp221k1",-121.873331585048,-127.934818451919,0.676550391155832
"c.bn4",-144.820368629016,-150.881855495888,0.673706247474929
"c.bn615",-35.7634901223223,-41.8249769891936,0.669848633709187
"c.bn8",-105.828345380632,-111.889832247504,0.668240625114774
"c.bn520",-105.774769761653,-111.836256628525,0.667150255261323
"c.hp400k20",-98.5142142128548,-104.575701079726,0.664717008851512
"c.bn5",-151.365298503364,-157.426785370235,0.663895214309323
"c.hp125k1",-99.0341576958658,-105.095644562737,0.661945173908253
"c.hp221k20",-95.182153044143,-101.243639911014,0.661297838542628
"c.bn7",-171.517044580383,-177.578531447255,0.660549500495835
"c.bn720",-169.408504152832,-175.469991019703,0.659865436882502
"c.stm1",-96.2006551943698,-102.262142061241,0.659060858706433
"c.linear20",-95.1496496546742,-101.211136521546,0.658537481176775
"c.bn420",-84.2466847988169,-90.3081716656882,0.657930317332059
"c.stm15",-78.2661205941395,-84.3276074610108,0.656909960700781
"c.hp125k20",-88.6615074698743,-94.7229943367456,0.655083878135674
"c.stm20",-93.7030274481781,-99.7645143150494,0.65484055349469
"c.bn320",-138.951412544272,-145.012899411143,0.654173706247475
"c.hamilton28t1",-81.2971818114065,-87.3586686782778,0.653628521320745
"c.hamilton28_panel",-78.4358347897382,-84.4973216566095,0.651319232746905
"c.bn515",-110.544486803567,-116.605973670438,0.650972609909284
"c.quad2",-77.2942909323444,-83.3557777992157,0.650561712638187
"c.bn820",-33.4614016888115,-39.5228885556828,0.649691712270906
"c.bn610",-0.702116795009715,-6.76360366188101,0.648936487677672
"c.hamilton24_panel",-85.4253382061158,-91.4868250729871,0.645506987549128
"c.bn315",-128.117102176395,-134.178589043266,0.643986208542989
"c.bn415",-79.8433002818947,-85.904787148766,0.642956669849782
"c.linear15",-62.5129787484238,-68.5744656152951,0.639538647298639
"c.hp400k15",-62.9010512573072,-68.9625381241785,0.639423871524588
"c.bn215",-12.130346033847,-18.1918329007183,0.638384003011717
"c.hp221k15",-62.1204726890737,-68.181959555945,0.637939820766152
"c.bn715",-142.22002869556,-148.281515562431,0.637245427333159
"c.hp125k15",-60.6598164803049,-66.7213033471762,0.635229964740883
"c.bn3",-139.78483178529,-145.846318652161,0.633384370294194
"c.hamilton24t1",-52.1827264916533,-58.2442133585246,0.628522468505521
"c.hp25k20",-47.542460927137,-53.6039477940083,0.612855575348001
