"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","Std.AUC","Std.psAUC","Std.Type I","Std.Type II","Std.Loss Function","c.Threshold.1","Type I.1","Type II.1","Policy Loss Function.1","Std.Type I.1","Std.Type II.1","Std.Loss Function.1"
"null",0,0,0.5,0.5,NA,1,0,1,0,0,0,0,0,NA,1,0,1,0,0,0
"c.bn3_r15",-46.2773819039322,-51.3506516213919,0.736523892773894,0.630812937062937,0.624364800482569,0.305944055944056,0.333333333333333,0.204712876478611,0.0471440132282935,0.0451128112958469,0.0133794776651919,0.0779478458049887,0.0623405824975089,0.624364800482569,0.305944055944056,0.333333333333333,0.204712876478611,0.0133794776651919,0.0779478458049887,0.0623405824975089
"c.poly3",5.38621358819529,0.31294387073558,0.573742229992229,0.604589160839161,1.80888354180786,0.527972027972028,0.305555555555556,0.37211865985176,0.0358072644730103,0.0263703929998573,0.0151634080205509,0.0708616780045351,0.0593425788022857,1.49494303165189,0.513986013986014,0.333333333333333,0.375292733684342,0.0151634080205509,0.0708616780045351,0.0628286779635431
"c.bn2_r15",-13.2062426117791,-18.2795123292389,0.687888500388502,0.587937062937063,0.2952252179824,0.356643356643357,0.333333333333333,0.238305594948952,0.0505384380348099,0.0507731665655772,0.0140484515484515,0.0779478458049887,0.0641633024224391,0.2952252179824,0.356643356643357,0.333333333333333,0.238305594948952,0.0140484515484515,0.0779478458049887,0.0641633024224391
"c.poly4_r20",7.07317809933312,1.99990838187341,0.504006410256405,0.58159965034965,-0.960851245528662,0.596153846153846,0.333333333333333,0.466510519395135,0.0339231543320844,0.0159667341586985,0.0147174254317112,0.0779478458049887,0.0716781480288806,-0.960851245528662,0.596153846153846,0.333333333333333,0.466510519395135,0.0147174254317112,0.0779478458049887,0.0716781480288806
"1_sided weighted_cycle",6.20936645374093,1.13609673628122,0.532488344988339,0.581118881118881,-1.06392497147756,0.682692307692308,0.111111111111111,0.478414465994594,0.0402306108212891,0.0182986656200942,0.0136080437419723,0.0496031746031746,0.0309926049861163,-0.251231951269874,0.625,0.333333333333333,0.501736111111111,0.0140484515484515,0.0779478458049887,0.0717032930262409
"c.linear",-9.36761468447457,-14.4408844019343,0.578671328671333,0.57736013986014,-0.978280712254971,0.629370629370629,0.222222222222222,0.445490105163765,0.0470959506944171,0.0208399301591266,0.0142714428428714,0.0708616780045351,0.0494581330412166,0.715922580645156,0.58479020979021,0.333333333333333,0.453090700577589,0.0142714428428714,0.078124999999999,0.0708908188581831
"c.bn2_r20",-16.6410977933384,-21.7143675107981,0.67603923853924,0.575131118881119,0.147031713762197,0.451048951048951,0.305555555555556,0.296809353773223,0.0519482410415055,0.0462283252461824,0.0153863993149707,0.0708616780045351,0.0571978469731758,0.164142338631079,0.437937062937063,0.333333333333333,0.302899982205052,0.0156093906093906,0.0708616780045351,0.0609402691695399
"c.hamilton13",6.57491601903848,1.50164630157877,0.5468142968143,0.570979020979021,3.63540819357591,0.620629370629371,0.305555555555556,0.478545013218673,0.0386424812508165,0.0228922862851434,0.0142714428428714,0.0708616780045351,0.061043862034538,3.47088086625092,0.609265734265734,0.333333333333333,0.482315846061475,0.0142714428428714,0.0779478458049887,0.0715456007559737
"c.ma",-11.6400795134784,-16.7133492309381,0.557194541569539,0.545738636363636,-0.224999999999998,0.722027972027972,0.166666666666667,0.549102170168604,0.0545696985518192,0.0164127167475382,0.013379477665192,0.0566893424036281,0.0381703803282225,0.374999999999996,0.678321678321678,0.333333333333333,0.57123141039225,0.014054026330812,0.0708616780045351,0.0662948280127243
