1,Crisis horizon:5-12 quarters,,,,Type II<=1/3,Loss func: Closest to Top Left : min(1*T1^2+1*T2^2),,,,Loss function: min(0.5*T1+0.5*T2)  (alpha=0.5) ,,,,(alpha=0.3),,,,(alpha=0.7),,,
2,Cycles,BIC,AIC,AUC,psAUC,c.Threshold.3,Type I.3,Type II.3,Policy Loss Function.3,c.Threshold,Type I,Type II,Policy Loss Function,c.Threshold.1,Type I.1,Type II.1,Policy Loss Function.1,c.Threshold.2,Type I.2,Type II.2,Policy Loss Function.2
25,c.bn2,-135.9913739,-142.374121,0.684199304,0.628249035,0.530404554,0.476415094,0.332050974,0.337229191,1.818706602,0.594339623,0.1394566,0.366898111,4.94403388,0.778301887,0.029333975,0.254024348,0.530404554,0.476415094,0.332050974,0.433105858
26,c.hamilton13_panel,-133.9347201,-140.3174672,0.692218966,0.626225916,7.435618736,0.391509434,0.333253186,0.264337323,7.435618736,0.391509434,0.333253186,0.36238131,24.80786949,0.783018868,0.032940611,0.257964088,7.435618736,0.391509434,0.333253186,0.37403256
27,c.bn215,-83.94693444,-90.32968153,0.674926393,0.626006115,0.809013839,0.5,0.264246213,0.319826061,2.456400998,0.617924528,0.114691031,0.36630778,2.884747208,0.655660377,0.096417408,0.264190299,0.576053482,0.476415094,0.312575138,0.427263108
28,c.bn5,-137.3539709,-143.736718,0.664642943,0.625866613,1.085613297,0.448113208,0.330367877,0.309948381,4.649424443,0.646226415,0.113248377,0.379737396,10.12522769,0.764150943,0.036547247,0.254828356,1.085613297,0.448113208,0.330367877,0.412789608
29,c.hp400k1,-121.5910083,-127.9737554,0.673284126,0.625796522,5.544960646,0.438679245,0.332531859,0.303016917,15.40468535,0.669811321,0.084154845,0.376983083,19.03841446,0.712264151,0.049531137,0.248351041,5.544960646,0.438679245,0.332531859,0.406835029
30,c.bn6,-132.7914743,-139.1742214,0.683547161,0.62490371,1.090555547,0.429245283,0.331089204,0.293871574,1.090555547,0.429245283,0.331089204,0.380167244,10.61962554,0.745283019,0.037749459,0.250009527,1.090555547,0.429245283,0.331089204,0.399798459
31,c.bn515,-119.5839784,-125.9667255,0.658403916,0.62260635,1.019699007,0.476415094,0.332050974,0.337229191,2.58401941,0.566037736,0.196681895,0.381359815,16.5498198,0.811320755,0.017552296,0.255682834,1.019699007,0.476415094,0.332050974,0.433105858
32,c.bn415,-89.61470485,-95.99745195,0.666949829,0.621704011,1.696691684,0.481132075,0.299350805,0.321098979,5.720846002,0.646226415,0.120942534,0.383584475,12.47633754,0.754716981,0.043039192,0.256542529,1.353159561,0.462264151,0.331089204,0.422911667
33,c.bn615,-54.99534124,-61.37808834,0.675605756,0.619891166,1.074849713,0.462264151,0.329886992,0.322513573,6.910460299,0.683962264,0.075498918,0.379730591,12.90539506,0.735849057,0.029814859,0.241625119,1.074849713,0.462264151,0.329886992,0.422551003
34,c.bn720,-154.9510065,-161.3337536,0.655019576,0.619457689,1.244328783,0.485849057,0.320028853,0.338467773,7.266570664,0.688679245,0.077182015,0.38293063,16.436101,0.778301887,0.018994951,0.246787032,1.178922507,0.481132075,0.328925222,0.43547002
