"Cycles","BIC","AIC","AUC","psAUC","c.Threshold","Type I","Type II","Policy Loss Function","c.Threshold1","Type I1","Type II1","Policy Loss Function1","Std.BIC","Std.AIC","Std.AUC","Std.psAUC","std.cThreshold","Std.Type I","Std.Type II","Std.Loss Function","std.cThreshold1","Std.Type I1","Std.Type II1","Std.Loss Function1"
"c.null",0,0,0.444493006993007,0.482819497809882,0,1,0,1,0,1,0,1,2.10531803971889,2.10531803971889,0.0294068459021946,0.00805865949971516,0,0,0,0,0,0,0,0
"c.bn3_r15",-42.6015776650523,-42.6015776650523,0.721081002331002,0.622438811188811,0.348439154419771,0.392832167832168,0.311111111111111,0.256944706689753,0.520578520805424,0.382255244755245,0.333333333333333,0.263791330804006,2.23773529959719,2.23773529959719,0.0293163873260213,0.0300607540186085,0.411631245743313,0.0763839089814391,0.0255260162075745,0.0709445316868624,0.341632617675183,0.0853824568892648,0,0.0686845447287472
"c.linear",-18.9589533360065,-18.9589533360065,0.566533119658123,0.567460664335664,0.779188973686039,0.609353146853147,0.288888888888889,0.459917643087078,0.1517751923335,0.59798951048951,0.333333333333333,0.469971492425601,4.68259770105311,4.68259770105311,0.0109749536253109,0.0123089292453964,2.21655801278918,0.0510005817883987,0.0558633449222161,0.0406845081783406,4.61237811211213,0.0375488816079244,0,0.0450123859097214
"c.bn2_r20",-7.28815492655866,-7.28815492655866,0.656378690753693,0.557884615384615,0.117982302196374,0.475524475524476,0.316666666666667,0.330039971845042,0.186506814753922,0.468793706293706,0.333333333333333,0.3332858659891,2.28400623206988,2.28400623206988,0.0161513008268306,0.0163516350416154,0.300177314259704,0.0576437246877396,0.0268358828633138,0.04593011818576,0.362996787269226,0.0517173495217502,0,0.0473613825270558
"c.bn2_r15",-3.53683861784486,-3.53683861784486,0.641754079254079,0.557019230769231,0.025207969190479,0.491083916083916,0.330555555555556,0.355652101449013,0.0706111598981247,0.490646853146853,0.333333333333333,0.356975594093164,1.86485958604309,1.86485958604309,0.0392388447566846,0.0247234570316427,0.469041671686712,0.0756620340697273,0.00878410461157882,0.0745444709586299,0.439549762154402,0.0754994369305216,0,0.0747879286119636
"c.poly3",1.77104171456341,1.77104171456341,0.514255536130533,0.549912587412587,3.05136113213434,0.631293706293706,0.291666666666667,0.489966747294836,0.807704313339281,0.615821678321678,0.333333333333333,0.495846993672606,0.902620312369369,0.902620312369369,0.0403745559308447,0.036726864372407,7.60000999389596,0.070514987733749,0.0458309950769059,0.106211619540721,4.6360850140563,0.0781703486735205,0,0.103180210633751
"c.hamilton28_panel",-23.8796357666089,-23.8796357666089,0.53090277777778,0.526717657342657,-0.826532862283863,0.683916083916084,0.302777777777778,0.561547636350958,-0.44871878972877,0.675087412587413,0.333333333333333,0.567530969661652,4.17131346845945,4.17131346845945,0.00744881753692166,0.00974827924318534,4.22476346395915,0.0330378980662447,0.0357412204918866,0.0351788444301781,2.60408153165692,0.0274235080941909,0,0.0369556629738077
"c.ma",-26.0113658258753,-26.0113658258753,0.546552059052057,0.52441215034965,1.219375,0.688461538461538,0.3,0.566623545236599,1.52625,0.681730769230769,0.333333333333333,0.576668335792025,7.15863599379187,7.15863599379187,0.00678569837260413,0.0167858611155072,1.53001636814956,0.0302446991030285,0.0449813251907078,0.0401101243756632,1.32959697841113,0.0298213749764449,0,0.0414873506113337
"1_sided weighted_cycle",1.61910396072182,1.61910396072182,0.478739316239316,0.521927447552448,1.53480857243923,0.662062937062937,0.305555555555556,0.540001173123259,2.58795669965444,0.655769230769231,0.333333333333333,0.547033864057465,0.814594084587318,0.814594084587318,0.0301255725849052,0.0306005519550312,4.91401028546059,0.0876910870366584,0.0392837100659193,0.102769604770387,3.70193272173046,0.0808940934712768,0,0.110759249923517
"c.hamilton13",1.60947212602491,1.60947212602491,0.48164821289821,0.519729020979021,1.7493914995885,0.658129370629371,0.311111111111111,0.539111692691967,0.76709432383741,0.65506993006993,0.333333333333333,0.547507145147005,0.87797501505567,0.87797501505567,0.0403870464235832,0.0347445896517879,3.58495407464746,0.0923456975545491,0.0409924881873679,0.113671076030456,3.45462421991341,0.0899346723032959,0,0.116918593140693
"c.quad",1.65423098399776,1.65423098399776,0.449796037296038,0.504042832167832,-8.38252805399829,0.745367132867133,0.280555555555556,0.638923672238795,-6.99890785175641,0.733479020979021,0.333333333333333,0.652432737474258,0.970450099353192,0.970450099353192,0.0290531716861786,0.0267499835183719,9.57143037924157,0.0622753595744417,0.0357412204918866,0.0948140443813564,6.95380191309992,0.0608290148860288,0,0.0906740999124581
"c.hamilton13_panel",-7.5078320771305,-7.5078320771305,0.498535839160839,0.503693181818182,-0.480201867808397,0.715821678321678,0.313888888888889,0.611934996255363,-0.866391104631121,0.713199300699301,0.333333333333333,0.620414668131014,7.0688918704433,7.0688918704433,0.0152998664394889,0.0106910960770038,2.96226809945829,0.0277234058254529,0.0187485710475153,0.0342219424621654,3.61106838002659,0.0268806932353488,0,0.0387547740730322
"c.hamilton28_panelr20",-18.0059922451646,-18.0059922451646,0.500626456876457,0.503417832167832,-5.42585229556158,0.746328671328671,0.283333333333333,0.640665099005717,-5.1486775805393,0.735664335664336,0.333333333333333,0.65368363910759,5.41479845810675,5.41479845810675,0.00745343983190313,0.0176223622056888,2.75037726251107,0.0455642391660961,0.0409924881873679,0.054170367982015,5.03795390022358,0.0390229736897341,0,0.0582051039676445
"c.hp400k",-6.5422644916564,-6.5422644916564,0.479088966588966,0.502316433566434,-4.31807948527911,0.781643356643357,0.241666666666667,0.675879276447458,-3.76627394931186,0.764685314685315,0.333333333333333,0.69661682043675,5.82017220868779,5.82017220868779,0.01281310059701,0.0137815738618354,2.1377573512838,0.0373501755961547,0.0764099297621398,0.0407947458684569,1.34296766477587,0.0290990421808891,0,0.0445549166107116
"c.hamilton28_panelr15",-16.2657498943403,-16.2657498943403,0.484112762237762,0.502246503496503,-2.1618622055006,0.770104895104895,0.258333333333333,0.664116927221531,-2.41851832811357,0.750699300699301,0.333333333333333,0.676214080693976,6.93029880378435,6.93029880378435,0.0190270707048507,0.0213870178412581,3.48039874395486,0.047101967188228,0.0507995063864637,0.0625285781625644,4.35459158613852,0.0415468880028015,0,0.0639643146860194
"c.hp3k",1.0131221537477,1.0131221537477,0.510246697746694,0.501726398601399,-0.27471379452691,0.748776223776224,0.286111111111111,0.643950540308349,-0.83721442750867,0.739073426573427,0.333333333333333,0.657967696396455,0.996430680328212,0.996430680328212,0.0157430689806158,0.0232078933433638,1.02544759271638,0.023368952318655,0.032208383575789,0.0444550644152546,1.42163156016816,0.0263956102907254,0,0.0389401738984097
"c.hamilton13_panelr15",-11.6105144259143,-11.6105144259143,0.468820415695417,0.497596153846154,1.29629295524508,0.762762237762238,0.286111111111111,0.668212285804069,-0.636341425820044,0.755244755244755,0.333333333333333,0.683084068223928,6.0026425256109,6.0026425256109,0.0611711677319275,0.0259435870036178,6.51718179656569,0.0461316197570935,0.0540696345209498,0.0660264312478244,2.6397105931457,0.0418770261613559,0,0.0641072865319696
"c.hp25k_r15",1.09603124289202,1.09603124289202,0.460445804195804,0.495686188811189,-1.79697730628768,0.769055944055944,0.291666666666667,0.679676260241528,-1.89144724275116,0.759702797202797,0.333333333333333,0.689303275153363,1.52658688302598,1.52658688302598,0.028258331461631,0.0135016853900458,2.19431015357312,0.041872565744805,0.0419230793432288,0.0436698182851772,2.23631933571427,0.0340559011772807,0,0.0518106384463713
"c.hp221k",-3.68802291062997,-3.68802291062997,0.469235625485626,0.49548513986014,-3.96725349204674,0.791258741258741,0.230555555555556,0.687440862739522,-3.46569179773828,0.770192307692308,0.333333333333333,0.704948294469711,3.7752889078182,3.7752889078182,0.00893382257677591,0.0139351897112806,1.99373458237027,0.0415141797074657,0.0859167459974966,0.0353597492871955,2.17087244842293,0.02668733636842,0,0.0405566673954613
"c.bn6_r20",-6.22299691377776,-6.22299691377776,0.500711441336441,0.494807692307692,-0.119654117359327,0.68548951048951,0.302777777777778,0.565049082888535,-0.32483283207513,0.678583916083916,0.333333333333333,0.573956100474894,4.05051725652068,4.05051725652068,0.0238322216828766,0.0125483806256223,0.650802763942601,0.0541374977731184,0.0305695815170725,0.0698968294530297,1.15748366616605,0.0513036515486179,0,0.0701224367894719
"c.hp25k",0.83175612037752,0.83175612037752,0.47695707070707,0.494300699300699,-1.53023437541717,0.766171328671329,0.255555555555556,0.659833403856568,-2.18554807340483,0.753671328671329,0.333333333333333,0.680194104167006,0.975553479122986,0.975553479122986,0.0148076404798029,0.0230546655454911,1.98409281850797,0.0410771994377356,0.081565613131649,0.0457659103450585,3.15536372755676,0.034359559476694,0,0.0520767676635998
"c.hp3k_r20",1.14351141175729,1.14351141175729,0.502292152292149,0.493273601398601,-1.57552723051459,0.736975524475525,0.308333333333333,0.639215919165657,-1.55187470885194,0.732342657342657,0.333333333333333,0.647896681310143,1.2291339147915,1.2291339147915,0.0236709014725541,0.0246287233718555,2.10824204760728,0.0231215060503011,0.0243220843269698,0.0369170207613963,2.17024437546033,0.0226029112020483,0,0.0333085048931349
"c.hp400k_r15",1.52895894151817,1.52895894151817,0.451289335664337,0.492119755244755,-2.75260194248045,0.737325174825175,0.283333333333333,0.630547747625982,-3.69979189094398,0.725437062937063,0.333333333333333,0.640586345230139,0.746249008126491,0.746249008126491,0.0343522654032815,0.0172408885992722,4.81105711305213,0.0669075965180246,0.0536717657266275,0.0815508884602201,3.63776722217939,0.0597801698473072,0,0.0886990483729067
"c.bn4",-51.2782444831721,-51.2782444831721,0.544636266511262,0.491866258741259,-0.830285594802213,0.713024475524476,0.313888888888889,0.610607908586492,-0.843443680192456,0.707954545454546,0.333333333333333,0.61409223182606,2.43335159606564,2.43335159606564,0.0126254327293684,0.0076828501163969,1.28648216426145,0.0520201603122459,0.0371525974958127,0.0599128504205638,1.28437120353592,0.0444907266891692,0,0.0632062150397598
"c.stm_r15",0.807165489164447,0.807165489164447,0.45989461926962,0.489287587412587,-2.85066249325405,0.765821678321678,0.288888888888889,0.676986361998746,-2.3686841577061,0.759965034965035,0.333333333333333,0.690212167397482,1.77678231596788,1.77678231596788,0.0323811973094604,0.0239361516554811,4.36164364638773,0.0443339738058841,0.0765780486227234,0.0622401207106606,4.0929352145173,0.0415558782706979,0,0.0644404077815222
"c.poly4_r20",-0.610587488542023,-0.610587488542023,0.420447261072261,0.486966783216783,-0.643845077102675,0.782517482517483,0.283333333333333,0.696486667523964,0.0424121009380206,0.771328671328671,0.333333333333333,0.707575180258747,2.25124570937606,2.25124570937606,0.0292452827547338,0.0132934975318636,2.15017598885664,0.0459464743988035,0.0468485579284204,0.0597802768123288,2.44746841335855,0.0410440134216659,0,0.06409645746141
"c.bn6",-22.5504460429503,-22.5504460429503,0.497746697746697,0.484501748251748,-0.0163383037135112,0.723076923076923,0.316666666666667,0.624162471496388,0.0710820591153215,0.721590909090909,0.333333333333333,0.63262859057221,3.4100826325079,3.4100826325079,0.0216863659567154,0.0128038671341655,0.94310742253638,0.0308989724214987,0.0143443827637312,0.0399325201896535,0.932869691985981,0.0302588715816208,0,0.0426835798199324
"c.hp125k",-0.243210432893193,-0.243210432893193,0.450888694638695,0.483881118881119,-2.88988322728279,0.778846153846154,0.283333333333333,0.692260773037288,-1.77241176987998,0.768356643356643,0.333333333333333,0.702432508245445,2.26377697213467,2.26377697213467,0.0325957197628994,0.0108468497930907,3.37837653961288,0.0435740033658045,0.0638821789283716,0.043368980145519,3.36210428377776,0.0324801776138781,0,0.0504985273112411
"c.stm",-0.242301853184472,-0.242301853184472,0.443599456099458,0.481608391608392,-2.30659397836012,0.786276223776224,0.261111111111111,0.69704686595348,-1.21318678662991,0.774912587412587,0.333333333333333,0.714033243611478,2.63113516217512,2.63113516217512,0.0309400009240315,0.0238153077142917,4.2111313360073,0.0581660548144538,0.0918488649454611,0.0706885857034238,4.02193208117992,0.0519894686974181,0,0.0803415073013128
"c.hp400k_r20",1.12396598151543,1.12396598151543,0.437014374514377,0.479908216783217,-2.18791355658214,0.781555944055944,0.25,0.686337165624025,-2.3909679622108,0.76486013986014,0.333333333333333,0.698213628349118,0.963094897651212,0.963094897651212,0.0178733014258878,0.0150302922810905,6.00349553192595,0.0618202654679834,0.103106747459815,0.0656520973157593,6.53880891487114,0.0482065427916866,0,0.0738976985385966
"c.stm_r20",0.0594998055252631,0.0594998055252631,0.443135683760686,0.472963286713287,-2.62139034055674,0.815384615384615,0.266666666666667,0.745743583178024,-3.47246198706121,0.805332167832168,0.333333333333333,0.76166668534457,2.4924013029357,2.4924013029357,0.0285489174346213,0.0195901101803929,2.77084016930066,0.0542706328543024,0.0890045543755401,0.0641319691151415,5.43221227253846,0.0470894384030115,0,0.0783805001358807
