"BIC","AIC","AUC"
"null",0,0,0.5
"c.ma1",-39.1961667609153,-45.1897867557429,0.697071630030239
"c.hp400k1",-37.896003731361,-43.8896237261887,0.674462811118861
"c.bn620",-22.1112880139517,-28.1049080087794,0.672340224470819
"c.bn8",-26.485099408031,-32.4787194028587,0.664024337055127
"c.hamilton28t1",-27.1028528429695,-33.0964728377971,0.664006164224238
"c.hp221k1",-30.9380305563659,-36.9316505511936,0.66125116306118
"c.bn4",-59.4886802302283,-65.482300225056,0.658619737148178
"c.bn220",-23.2956541464988,-29.2892741413265,0.655072400558271
"c.bn820",-20.7767063660095,-26.7703263608372,0.654603541521276
"c.bn6",-37.7622000993953,-43.7558200942229,0.652012095836235
"c.bn610",7.25269439861063,1.25907440378296,0.650863572923947
"c.hp400k20",-23.0490493388543,-29.0426693336819,0.648595603628745
"c.hp125k1",-24.1264162248112,-30.1200362196389,0.646840108164688
"c.bn815",4.17902842437331,-1.81459157045435,0.645124592928577
"c.stm15",-18.9148440024993,-24.908463997327,0.645033728774137
"c.hp221k20",-22.250670784927,-28.2442907797547,0.64481202023727
"c.hamilton24_panel",-18.1471542149335,-24.1407742097612,0.64445946731798
"c.bn2",-38.7369900800799,-44.7306100749075,0.644415852523845
"c.linear20",-21.7649618387967,-27.7585818336244,0.644321353803206
"c.bn520",-15.6621489592184,-21.655768954046,0.643856129332409
"c.stm1",-23.4683847995267,-29.4620047943544,0.643656228192605
"c.hamilton28_panel",-16.4966703224325,-22.4902903172601,0.643052890207023
"c.bn615",0.274395394581006,-5.71922460024666,0.641460950220997
"c.bn420",-19.6263011355699,-25.6199211303975,0.6407085950221
"c.stm20",-22.4687721700323,-28.4623921648599,0.639603686903937
"c.bn5",-39.6338572657857,-45.6274772606133,0.638629623168177
"c.hp125k20",-20.553950893546,-26.5475708883737,0.637989939520826
"c.bn215",-14.304675428514,-20.2982954233416,0.63777913468249
"c.hamilton20_panel",-28.4810049309306,-34.4746249257582,0.636932280762976
"c.hamilton24t1",-14.3628376787293,-20.356457673557,0.634617062107467
"c.quad2",-17.0674527879075,-23.0610727827352,0.634388084438242
"c.bn7",-46.9288095295609,-52.9224295243886,0.633395847871593
"c.bn720",-34.4179778800108,-40.4115978748384,0.632498110025587
"c.bn320",-34.9885030720429,-40.9821230668706,0.631538584554545
"c.linear15",-14.1173568195486,-20.1109768143763,0.631502238892776
"c.hp400k15",-14.1925840914911,-20.1862040863188,0.63076442195861
"c.bn515",-32.4880258778928,-38.4816458727205,0.630764421958594
"c.bn415",-30.0133745444149,-36.0069945392426,0.630488194929057
"c.hp221k15",-13.9021893027377,-19.8958092975654,0.628961677134235
"c.bn315",-37.1870375914273,-43.1806575862549,0.626359327750641
"c.hp125k15",-13.3721633916704,-19.365783386498,0.625926814375451
"c.hamilton20t1",-7.57028336678775,-13.5639033616154,0.622110519888358
"c.hamilton13t10",-5.19882706044962,-11.1924470552773,0.619453652012103
"c.bn715",-54.9357959568908,-60.9294159517185,0.616451500348917
"c.bn310",-27.8093823805466,-33.8030023753743,0.614129012561063
