"date","AR","AT","BE","CH","CL","DE","DK","ES","FI","FR","HU","ID","IE","IN","IT","JP","KR","MX","MY","NL","NO","PT","SE","TH","UK","US"
2000-01-01,2.13040829721178,3.33222334302236,3.92158932510396,-0.342402199944168,3.0920575588904,4.32666072608568,6.98423308601156,10.3460571896918,-1.44990413519883,1.90499229644555,4.71540153246285,-27.8747528433624,10.593943606544,2.23552487368566,1.4234997479829,-7.5160437943921,-12.6622168074115,-4.30916937236278,-16.5199070272345,3.7134946491359,0.68804156288475,13.9886620732925,3.94188757681957,-34.3714564677672,4.9331070994359,5.87118679402199
2000-04-01,1.78494265202255,5.39043255639161,4.10320875869126,-3.2314118676836,4.12895280033107,3.80992143658693,6.3436833112733,11.8628666811353,1.90858148162978,2.83892013448921,5.96653242215657,-24.8703402419768,7.66493823598529,2.2633562745402,1.29686325542232,-8.5032578305401,-12.5123516457013,-3.89013239987062,-18.0387807363493,3.61912377053536,0.561075513196343,14.3720176947627,3.63199671753717,-38.2394869188323,5.75472378528339,5.87256275394273
2000-07-01,1.32443923570093,5.69145126883547,4.50672715195081,-4.92969850936452,3.74775692109409,4.69314196268776,6.51529639420823,12.2945483987869,3.62419745489437,3.63905331525433,6.35394025205386,-22.1985440433784,5.43026912797744,2.7169724150858,2.05019326004959,-8.49459695897822,-12.3177840411303,-3.87400399139425,-17.9692624350162,3.81130433017381,-0.639107051549446,14.5954895138864,5.96486824919746,-42.6089480191689,5.36749694337406,5.53100034265762
2000-10-01,0.568258979048716,4.11060627392577,4.31139816205523,-4.30622496557071,2.98131549352593,5.47714913983514,5.6918918643712,11.2732508849014,3.98662702949725,3.83375567830493,6.87412614627938,-18.7436355239754,3.80126613710663,3.17191512778817,2.45199903036202,-8.7824571298157,-11.63323782112,-3.8466579380825,-17.5439973817899,2.11073062134692,-2.47217050644986,14.0989214553727,6.98816151632355,-40.4526125741862,5.64494701828758,5.02964752004296
2001-01-01,0.896559292081514,3.36943505797882,3.94583736703459,-3.47627049355347,2.58278744983349,4.63476713517369,5.64487916811183,10.3721935782221,1.99339177160719,4.27851809094746,6.12850140219491,-16.0126062220486,2.78096639989009,2.87962889095667,2.28166666072935,-9.42200616558039,-10.7277490949556,-3.85737161598542,-15.4073411054253,-0.230722596198504,-2.20572881458328,13.1543821758078,5.9528994044937,-38.5670839992272,6.00177714439747,4.70241719170796
2001-04-01,0.780149635948675,2.60083416239363,3.68811730600405,-3.80644299145807,3.71732873887589,3.43072475853569,6.73141068424573,10.6873188518458,1.27294880353048,4.32359958137019,5.35013243723191,-14.8824435242239,1.90124377985881,2.5118322261848,1.77341833421511,-9.03794633780062,-9.37321449742964,-3.97207476928817,-12.0541910868346,-0.870061086015594,-0.594131885825324,12.5805759465987,5.50351155904337,-36.7745135858387,6.07092393672904,5.940157401414
2001-07-01,5.35507149619127,2.57533751405607,3.66759022433403,-5.51911928064328,2.57926469944531,2.45033672139354,8.48986791712542,11.0890236212708,-0.9730944848981,4.02779886169458,5.19258773882922,-14.0047433009118,2.65635830562561,2.71177094143207,1.84226002704349,-7.64683720386958,-8.76678330459413,-3.52253543773412,-8.79786964796826,-0.982742230185457,0.889817894167781,11.8151703222113,7.44673046321772,-32.9645656982769,5.99714358244305,7.38109560977286
2001-10-01,24.5247201455519,2.59323253652223,2.44361331815597,-6.26453070913901,-1.16882439157475,1.081073262495,8.91621694116175,10.2186129283145,-0.289074353115198,3.61098658750927,3.90676401828034,-13.0283726500447,3.75966070407816,3.08718225621496,1.81846208865282,-6.81565709123955,-7.33362230650629,-3.35256866706964,-5.8766596372972,-1.35513624779364,3.98178533673062,11.437396447249,7.61798330132656,-26.5178533095567,6.80101356550156,6.69573575246271
2002-01-01,37.8430983663486,1.59408692688624,0.378094647344055,-5.37595224845683,-2.2445631484307,1.02832668465185,6.89032075413434,9.42637042332,1.5836754622617,3.03071555537523,3.63767664999266,-12.75900306893,3.81258860206181,4.14723420938013,1.64477377363857,-6.27664176449344,-5.70762667273371,-3.02119516917827,-5.34640773726059,-2.87036857585408,6.3817560972511,8.71491433660868,5.35215603027717,-21.6466916028009,5.73726856916609,6.10171763197784
2002-04-01,32.8833028583407,0.905657372052898,-1.33978871229075,-4.57544206742755,-0.161165907784497,1.03767747092726,6.57740837209097,8.0518070301863,2.38796351734015,2.41669273251989,3.95840186489753,-10.5526069374447,2.25770880246406,4.42181033429534,1.19356824213961,-7.05018884644501,-3.6206198543004,-2.45399243169917,-6.31992799556458,-2.99650635928356,6.49688242750436,7.52759999781718,3.84642562660166,-18.7454459618598,7.33335896994795,6.1137820602969
