"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined.cycle","combined.cycle1","combined.cycle2","combined.cycle3","combined.cycle4","date","ID"
-2.15645561414719,-3.22632437239048,-18.6502830855229,-15.2613661073351,-15.5540927774516,-21.1536256872898,-1.12029972089927,-18.57,-12.1692204643189,-12.405267627087,-12.1708671609804,-12.1083074078821,-11.9924396613263,2017-07-01,"IT"
-0.972168863092406,-1.97470107481827,-18.1088299865919,-16.8368066119073,-17.4467036780014,-22.2640402185199,-2.07373029598391,-18.179,-12.0566810922944,-12.3170074251781,-12.0429606459927,-11.9830947009316,-11.8836615970751,2017-10-01,"IT"
-1.01790271791972,-2.10234784790447,-20.5976345357917,-8.18822586973772,-20.3837158469946,3.42004759386572,-0.420141359270226,-1.0956,-7.16884598818717,-6.54681869001613,-6.66422675606835,-7.5160437943921,-7.94829471227209,2000-01-01,"JP"
-3.07460333150152,-4.15516413397427,-23.3148041054735,-9.99989818411572,-22.2484399788472,2.18756012188055,1.33857232214247,-0.075025,-8.02908640418704,-7.20233468560286,-7.45416590532399,-8.5032578305401,-8.9565871952812,2000-04-01,"JP"
-2.01192928590248,-3.0561333302262,-22.7436421083478,-11.0801241168684,-25.1087557603687,0.143428379416264,-2.14573596504075,-0.082838,-7.95752272134705,-7.09280564457017,-7.42559920455736,-8.49459695897822,-8.81708907728246,2000-07-01,"JP"
-1.91685236813774,-2.92363522637049,-23.1168345614836,-11.004958564243,-24.683878968254,1.30157967032969,-2.74123833759982,-0.31159,-8.27369204995004,-7.47629799271352,-7.8048074271895,-8.7824571298157,-9.03120565008145,2000-10-01,"JP"
-2.59743996185941,-3.59162999294557,-24.3717960849332,-12.5526845846694,-25.2120192307692,1.50228365384615,-0.703507786233704,-0.37035,-9.01400615993564,-8.29329894406326,-8.52494158928869,-9.42200616558039,-9.81577794081024,2001-01-01,"JP"
-3.08347086517375,-4.08376076570451,-25.5155476103721,-14.1004219633787,-26.6365034965035,0.869435340778637,-1.53320883894482,-0.32561,-8.58681584809678,-7.80549099485732,-7.98122686097237,-9.03794633780062,-9.52259919875681,2001-04-01,"JP"
-1.48443594970894,-2.44022013024338,-24.3099167888799,-13.9336123765372,-27.9645409317051,0.384116848910537,-2.45108254368506,0.20254,-7.17823948223382,-6.3160883734063,-6.53885112824287,-7.64683720386958,-8.21118122341654,2001-07-01,"JP"
0.546582943103061,-0.298922367781415,-22.3099283116525,-11.9033644695537,-26.9428884986831,2.12560216818721,-2.19188721470243,0.0088696,-6.37605791314642,-5.54325812722878,-5.72454557934647,-6.81565709123955,-7.42077085477089,2001-10-01,"JP"
1.03882922296086,0.31830426503393,-21.7209599394054,-13.0801040621483,-25.1203324808184,4.49667519181588,-0.272879046559248,-0.17076,-5.77455545721689,-4.99903138068417,-5.11596648861139,-6.27664176449344,-6.70658219507855,2002-01-01,"JP"
0.929465338715147,0.327250978473273,-21.7047486611904,-9.55309357548666,-24.7113457556936,5.39447467413174,0.350673225411271,-0.1738,-6.59514837650157,-5.74447550143534,-6.11143187986739,-7.05018884644501,-7.47449727825853,2002-04-01,"JP"
-0.0581291675138971,-0.579322737615627,-22.6941120882372,-11.8348035940731,-24.8817303822937,5.69757880617036,-0.736550917751332,-0.42912,-6.10549412487601,-5.38249545335763,-5.55779990136867,-6.51307337318434,-6.9686077715934,2002-07-01,"JP"
1.55197498643147,1.15933285936848,-20.7800911306184,-11.4496062422481,-26.0723004694836,5.03609878448776,-1.29204275271192,0.46907,-7.13275858019417,-6.36169974172842,-6.4523584578838,-7.5331094004611,-8.18386672070337,2002-10-01,"JP"
0.406140407359857,0.0983025310467269,-21.7733586246942,-18.8058013082778,-24.3514079147641,7.14120541774651,-1.92392021997616,-0.92126,-7.31586865751151,-6.56027901515389,-6.68061025710646,-7.73568709243353,-8.28689826535215,2003-01-01,"JP"
-1.15852319099992,-1.44042680518606,-23.4297564897903,-15.870784976519,-25.5528322843391,6.3835986671603,0.148049908496398,-0.044416,-8.91383687524827,-8.06787872075292,-8.22430526112562,-9.36932640690045,-9.99383711221408,2003-04-01,"JP"
-1.66398798061385,-1.94407809021641,-24.1106927711243,-20.9075980364334,-27.439027027027,5.04195448079653,-2.33710309143867,-0.50457,-8.3767652985569,-7.47416517482757,-7.72223941240942,-8.86774531556633,-9.4429112914243,2003-07-01,"JP"
-0.272107488893027,-0.510739550101647,-22.6526070889846,-19.6976026430379,-28.3640350877193,4.69327409432671,-3.06324591075936,0.36272,-7.92575814166044,-7.12871736254778,-7.32524972270301,-8.39255159784904,-8.85651388354195,2003-10-01,"JP"
-1.47168180212998,-1.71363852630657,-23.9791542983812,-14.7124095895837,-27.1451469583048,6.3808007781692,-2.00566701533062,-0.98026,-7.9308064738275,-7.18048126622126,-7.38048377167,-8.38153483141388,-8.78072602600487,2004-01-01,"JP"
-1.99805576873371,-2.26575677084699,-24.7255954278689,-12.6627734419642,-28.7315684315684,5.33969574729068,-0.470095672655391,0.16465,-7.98650839596834,-7.2379207452504,-7.46044829818435,-8.39795533200983,-8.84970920842877,2004-04-01,"JP"
-1.73464481114337,-2.02342668717125,-24.6431602091861,-9.23226552685759,-29.7540084388186,4.89920886075947,-3.04439330338451,-0.52401,-8.05551763396771,-7.2445350384143,-7.44117986629267,-8.5356284118835,-9.00072721928035,2004-07-01,"JP"
0.0336549356774754,-0.220417943238857,-22.7453664869265,-17.5307702095591,-29.9559810126582,5.26291842475385,-2.5458340012648,0.44779,-8.29445016383562,-7.40832857880592,-7.55209514123621,-8.80371786852444,-9.41365906677593,2004-10-01,"JP"
1.44655887446683,1.27241538287711,-20.9289355447129,-28.7464227867662,-28.3320370370371,7.32592931345982,-1.54018946475718,-0.29572,-7.51784783993188,-6.65292473854179,-6.91875492622601,-7.99877521107673,-8.50093648388299,2005-01-01,"JP"
