"AR","AT","BE","CH","CL","DE","DK","ES","FI","FR","UK","HU","ID","IE","IN","IT","JP","KR","MX","MY","NL","NO","PT","SE","TH","US","date"
"23.7","143.3","200.8","202.5","111.9","133","252.9","219.3","167","168.8","182.4","125.5","27.2","291.5","99.2","123.9","167.9","173.1","30.3","115.5","244.1","225.9","215","224.4","131.5","168.9",2009-04-01
"23.3","145","203.6","206","112.6","133.3","257.9","221.3","164.4","170.5","185.7","124.3","26.9","298.4","100.7","124.4","169.7","174.1","30.5","121.6","247.5","226.5","216.2","229","133.4","169.1",2009-07-01
"22.7","145.1","204.4","208.5","110.9","134","260.6","222.8","165.2","172.1","185.4","128.5","27.4","302.8","98.9","125.1","170.8","173.4","30.2","123.5","252.2","225.2","215.4","232.2","132.4","167.5",2009-10-01
"21.9","146","200.3","210.7","110.4","132.8","262.5","223.8","169.2","172.2","186.6","127.8","25.8","304.3","102.2","125.3","168.9","171.6","30","120.7","258","223.3","215","229.7","128.3","165.6",2010-01-01
"21.4","147.5","199.3","207.1","110.2","132.6","258.9","226.8","172.6","171.9","182.6","134.5","27.4","301.6","100.2","125.7","167","171","30.2","119.5","262.9","226.6","216.5","228.2","127","163",2010-04-01
"21","147.4","194.7","207.2","105","131.7","254.3","225.1","170.8","171.5","182.3","126.8","27.4","293.5","99.6","125.8","164.6","170.3","29.8","118.3","263.8","226.9","214.8","225.5","125.8","161",2010-07-01
"21.1","147.7","190.5","208.6","103.3","129.6","249.9","224","167.2","172.6","177.7","125.5","28.7","310.2","103.7","125.8","163","168.7","29.8","120","265.3","225.9","218","220","129.7","159",2010-10-01
"20.7","145.4","192.5","209.4","103","125.5","249","221.7","168","172.9","176.2","119.1","28.2","311.4","103.4","125.7","162","169","30.2","118.8","266.6","225.8","220.2","221","131.1","157.3",2011-01-01
"20.8","145.5","196.2","212.4","103.5","124.3","249.1","221.7","167.8","175.3","175.7","119.6","29.5","308.6","101.3","125.9","161.9","170.2","30.1","119.5","270.9","223.8","221.5","221.5","133","155.9",2011-04-01
"21.2","144.9","198","213.9","107.5","124.8","254.7","220.4","167.4","177.4","174.6","124.4","31","312.9","100.5","125.4","162.7","172.9","31.7","120.4","272.3","220.7","222.8","222.7","134.9","154.8",2011-07-01
"21.1","145.2","200.8","215.2","110.1","124.6","256.7","219.6","168.2","178.7","172.9","125.8","32.1","315.1","103.2","124.7","163","172.8","31.9","121.9","276.9","218.6","223.2","223.5","140.6","154.1",2011-10-01
"20.7","144.4","205.2","216.9","110","124","258.9","220.1","169.1","180.6","175.2","119.8","33","322","103.8","125.3","161.9","173.3","31","118.7","278.9","227.7","224.3","230.1","142.8","152.5",2012-01-01
"20.9","145.3","208.7","218.2","113.1","124.4","258.9","220.3","169.7","182.5","176.3","118.6","34.6","327.5","102","125.9","158.8","174.6","31.4","122.8","282.3","226.3","226.1","228.7","144.7","151.3",2012-04-01
"21.2","145.1","208.9","219.4","113.2","124.2","255.8","219.1","170.3","182.5","176.1","114","35.3","327","103.8","126","159.8","176.2","31.6","123.3","283.1","225.8","229","233.1","146.9","151",2012-07-01
"22","143.4","205.7","222.5","116.7","123.8","257.7","211.4","171.5","182.9","173.7","115.2","36.8","313.8","105.8","126.9","161","175.3","32","124.1","282","226","231.6","227.1","145.8","150.8",2012-10-01
"21.7","143.1","208.9","222.7","116.8","123.6","255.6","208.8","176.3","182.9","171.2","117.8","36.7","306.7","105","126.2","161.1","177.3","31.8","125.6","282.3","226.5","230.1","231.7","145.4","149.6",2013-01-01
"21.8","142.6","212.1","221.6","119.7","124.3","253.8","206.8","176.2","181.5","172.2","114.1","38.4","297.8","104.9","125.9","159.7","177.5","32.8","128","283","227.7","228.1","234.3","148.1","149.5",2013-04-01
"22","142.3","206.9","221","120.7","124.4","252.8","204.4","176","182","169.6","111.4","40.3","293.4","104.4","125.6","159.4","177.1","34","128.4","283.1","225.5","224.1","232.2","148.2","149.8",2013-07-01
"22.8","146.5","205.3","222.9","124.6","124.3","246.9","202","176.2","181.2","166.8","107.8","41.2","296.7","104.2","125","159.4","176.2","35.1","130.4","281.9","223.6","220.1","231.7","152","149.9",2013-10-01
"22.4","145","199.4","223.7","126.6","123.5","246.8","198.5","175.3","182.6","163.6","107.3","40","292.6","103","124.7","158.3","176.5","35.1","129.4","281.3","224.1","215.8","236.8","152.4","149.7",2014-01-01
"20.8","145.4","201.8","225.6","127.4","123.7","244.3","197.4","175.5","184.7","161.2","107","41.1","294.3","100.7","124.7","156.6","176.7","35.4","129.3","282.7","224.7","212.2","235","153.3","149.6",2014-04-01
"20.2","145.3","203.7","226.3","132","122.6","248.7","195","176","186","160","105.6","41.5","292.6","100.5","124.4","156.9","178.8","35.6","129.1","282.9","226.4","210","232.1","153.7","148.8",2014-07-01
"19.7","141.8","207","226.7","135.6","118.2","247.5","190","182.5","186.9","158.6","104.7","42.1","300.7","101.1","123","157.5","179.6","36.5","132.8","288.7","229.6","208.2","233","156","148.9",2014-10-01
"19.4","143.8","216.2","227.3","137.1","118.9","247.5","189.3","187.2","189.5","160.1","99.6","41.6","401.4","99.7","123.1","156.1","179.5","36.8","134","293.9","235.5","205.3","235.7","155.7","148.2",2015-01-01
"19.7","142.1","206.6","226.1","137.7","118.8","244.4","185.1","190.7","189.9","155.7","100","42.5","366","97.5","122.3","153.5","179.5","37.5","135.4","291.8","239.7","202.1","234.2","157","148.9",2015-04-01
"19.7","141.9","212.9","226.9","147","118.7","246.4","181.3","193.3","190.4","156","95.9","42.9","336.5","98.1","121.3","152.8","180.7","39.2","136.7","289.1","244.5","199.3","233","158.2","149",2015-07-01
"21.5","141.7","209","230.6","146.9","117.8","245.3","177.9","189.4","192.6","156","94.8","43.2","323","98","119","153.1","180.8","39.7","136.4","286.5","249.6","196.7","236.7","159.4","149",2015-10-01
"21.1","141.4","225.1","236.5","144","118.3","244.8","174.2","186.1","195","156.4","93.7","42.2","322.6","95","117.5","152.7","180.7","40.6","134.7","285","251.1","192.7","232","161.1","149.5",2016-01-01
"20.6","141.1","229.9","235.5","143.2","118.1","245.5","174.1","184.4","197.2","159.2","94.4","42.6","322.2","94.6","117.7","152.9","181.1","41.7","134.3","284.2","254.6","190.3","232.6","160.5","150.2",2016-04-01
"20.6","142.2","229.3","236.2","143.1","118.3","247.1","171.2","182","198.3","161.4","89.7","42.3","304","90.2","116.9","154","181.2","42.5","135","290.5","256.8","187.7","235","158.5","151.3",2016-07-01
"20.8","142.1","229.2","237.6","144.1","117.6","242.7","169.2","179.5","199.5","159.4","89.8","43.1","304.2","91.9","115","155.5","181.7","42.8","136.7","286.2","256.9","184.3","236.1","156.9","150.8",2016-10-01
"20.4","142.9","224","238.8","143.6","118.6","239.9","168.3","181.3","200.5","160.1","88","41.9","301.5","87.3","114.8","156","181.1","41.1","134.8","286.6","253","183.5","240.6","154.6","151",2017-01-01
"21.3","141.8","220.6","242.5","143.1","118.2","237","166.6","183.1","200.7","159.7","86.7","42.1","288.3","87.8","113.8","155.3","182.5","40.5","134","283.1","251.1","181.1","240","154.7","151.6",2017-04-01
"22.5","141.6","216","242.9","140.9","117.9","235.7","163.4","185.5","200.5","160.9","85.7","41.5","279.9","85.9","112","155.3","182.2","41.1","132","281.7","247.4","178.7","238.9","152.9","151.7",2017-07-01
"24.9","141.5","216.7","246.8","138.9","117.7","234.5","159.9","186.8","200.8","161.6","83.7","42","269.7","87.6","112.1","155.9","181.9","42.5","132.7","275.9","244.9","176.7","240.7","153.3","152.4",2017-10-01
"25.4","142.3","214","251.1","137.7","118.6","234.5","158.3","186.6","201.8","159.6","82.6","41.4","259.8","85.3","111.1","155.2","182.9","41.5","133.8","275.9","243.3","173.7","246.9","152.3","151.5",2018-01-01
"28.8","141.8","214.4","244.1","139.5","119.6","235.7","158.6","187.7","203","159.1","85.3","42.4","260.7","85.6","111.2","155.8","184.2","42.5","136.8","271.9","240.3","170.5","247","152.9","152.2",2018-04-01
"33.3","142","211","240.9","141.7","120.6","235.3","156.8","187.7","203.9","157","83.5","42.9","258.1","85.5","110.8","157.2","186.1","41.5","136.3","269.1","236.1","169.2","248","152.9","151.7",2018-07-01
"29","141.9","210.8","239.4","145.7","120","235.2","153.6","187.3","204.2","156.3","82.1","43.1","265.9","86.8","110.4","159.2","187.4","41.8","136.5","266","233.1","167.1","246.9","154.4","151.6",2018-10-01
"29.1","143","210.2","241.7","146","120.9","239","153.8","186.7","208.1","154.1","81.7","42.7","263.9","90","109.5","160","188.7","41.9","136.4","263.2","233.6","165.7","252","153.9","151.3",2019-01-01
"26.6","144","210.7","245.1","149.4","121.9","241.6","152.5","185.1","209.6","155.2","82.7","42.8","258.2","87.1","109.6","160.7","191.4","42.1","135.9","259.9","238.8","164.6","253.8","153.6","151.6",2019-04-01
"30.1","142","213.1","247.9","155.1","122","244.9","151.6","185","211.6","156.8","82.1","42.9","254","86.7","109.7","162","194","42.1","135.4","257","244.3","163.2","254.5","153.4","151.8",2019-07-01
"27.9","141.9","212.8","256.8","157.9","121.8","246.8","149.4","183.5","211.8","154.8","82.2","42.9","235.1","87.2","109.4","163.9","196.2","41.1","136.6","252.1","247.9","160.9","255.1","154.5","151.5",2019-10-01
"27","144.4","211.8","255.8","165.2","123.1","244.7","149.9","184.4","215.2","156.5","86.4","44.7","243.6","88.9","111","165.4","200.2","45.3","136.5","254.1","255.9","161.5","258.9","157.8","154.7",2020-01-01
"28.7","149.3","220.6","262.3","173.3","128.3","249","162.2","188.9","230.8","165","87.3","43.7","242.8","93","117","177","205.8","46.6","144.1","259.1","265.4","170.8","264","165","161.1",2020-04-01
"28.9","151.3","220.9","265.8","172.5","130.3","243.2","165.2","190.5","235.3","166.5","90.3","44.9","224.1","94.3","119.8","180.2","210.5","46.1","147.2","259.4","269.1","173.5","267","169.9","162.9",2020-07-01
"29.6","152.7","221.4","266.6","164.2","131.8","244","169.4","193.1","239.4","168.6","90.8","44.2","216.4","95.2","121.8","182.5","213.7","44.3","149.9","253.8","270.8","175.7","269.4","175.8","164.8",2020-10-01
"28.4","156.5","222.4","277.7","162","133.6","243.9","171.2","193.9","238.9","168.2","95.8","44.5","212.5","97","122.5","183.5","216.2","44.3","150.7","257.1","268.2","178.3","279.6","178.6","165.8",2021-01-01
"25.6","151.9","214","275.9","153.8","131.3","238.5","168.1","190.4","232.5","163.5","93.7","43.6","203.4","90.4","118.4","182.4","218.1","41.8","143.9","253.9","259","174.2","274.7","176.4","161.3",2021-04-01
"23.8","151.4","210.2","274","153.3","130.7","237.2","164.9","188.9","231.3","161.4","95.8","42.4","197","87.7","117.1","182.6","220.4","41.4","144.5","250.7","246.7","173.5","274","178.6","159.6",2021-07-01
