"date","c.hp","c.hp3k","c.hp25k","c.hp125k","c.hp221k","c.hp400k","c.hamilton13","c.hamilton20","c.hamilton24","c.hamilton28","c.linear","c.quad","c.poly3","c.poly4","c.poly5","c.poly6","c.bn2","c.bn3","c.bn4","c.bn5","c.bn6","c.bn7","c.bn8","c.stm","c.ma"
1985-10-01,-0.173755749128162,-0.2889318625149,-1.03379111695404,-1.64652285051182,-1.77044019754772,-1.85298438590299,-1.71030013277036,-0.327329121560467,0.441584729759093,-0.103675437007674,-1.92104706504495,-0.125411095162548,0.222771083578863,0.250407124164404,-0.432931971958958,1.05381863513235,0.0194434257520986,0.110551849563859,-0.432222828828646,0.194033353681279,0.137102181044645,-0.103959384424628,1.41234913108434,-2.05764655248454,0.100000000000001
1986-01-01,-0.723904944376855,-0.853960233982718,-1.64899504196371,-2.31600308370319,-2.45417051438807,-2.546885805304,-1.52446992849752,0.173308691014007,0.121366461829453,0.277497624856025,-2.62933947772658,-0.712456797235021,-0.308975097483163,-0.241299728497317,-0.82382790536375,0.66737135643482,-0.137253357598006,0.358641592151597,-0.891648588191614,0.514363422938168,0.122121740530914,0.16203490495155,0.106057605925439,-2.71168973396399,-0.556250000000006
1986-04-01,-0.907703684168894,-1.05868865409083,-1.92078726261446,-2.65179637846638,-2.80673263530954,-2.9114724581459,-1.10026283512941,-0.97722062540366,-0.418229646454165,-0.550557205481702,-3.01101190476191,-0.950984432234428,-0.471094183594182,-0.345187907034934,-0.820477318628058,0.674023541860379,-0.150574736845044,0.18528038479894,-1.02265549663689,0.230424152093208,0.96999389709524,0.0676542274696609,0.233152593054438,-3.03005655236514,-0.931250000000006
1986-07-01,-1.91373841723617,-2.11874750292909,-3.13502058394427,-3.9723286856934,-4.15293658274695,-4.27585700725882,-1.73476730224372,-2.36753271686976,-1.8334916601522,-1.18620993739803,-4.40076923076923,-2.10098776223776,-1.43024149358104,-1.12429636320658,-1.37902060864283,0.222133993116159,-0.415762676444892,0.604113736904263,-1.86833803581487,0.590129482788985,0.74125256689181,1.1211991497055,0.0449927198045565,-4.32745746253289,-2.29375
1986-10-01,-1.15628594615875,-1.38985431068751,-2.5035336076268,-3.42695228806075,-3.63052978723432,-3.77014676867718,-3.0105605980294,-1.71153265666553,-1.336398126337,-1.24294389738671,-3.91916083916083,-1.4298799707755,-0.651395838577571,-0.282655970589694,-0.471129342467364,1.05842806548497,-0.107062732785936,0.21262141209707,-1.29582800758642,-0.207792565945832,1.04446129462979,0.91110512995842,1.27064496897122,-3.76035049756388,-1.6625
1987-01-01,-1.24439824589555,-1.50811756822273,-2.72847821379197,-3.74652829813349,-3.97585950384592,-4.13437328210116,-2.39102228660823,-1.44629005043477,-1.89843392009089,-1.81398095605939,-4.31099050203528,-1.61454625269374,-0.717397088031149,-0.282759013581213,-0.411497323759491,1.04365124187671,-0.102501304111055,0.371839724077831,-1.70362968647767,0.4059596361636,0.303329273252259,1.20140353924239,1.01634931242627,-4.05615167153083,-2.00625
1987-04-01,-1.28702309839489,-1.58077284052846,-2.91314195443571,-4.0329291649834,-4.29066061729547,-4.47023957860914,-2.76804577364959,-3.0267883051694,-3.48096018028437,-1.72596795579768,-4.67805092186128,-1.75985418177654,-0.737985265488412,-0.240408078120986,-0.321689183849116,1.05121170275375,-0.205159658062038,0.149355715101401,-2.04793962353705,0.186014842783323,0.947024641477424,0.421636212639769,1.20220715324775,-4.31691279480211,-2.33125
1987-07-01,-1.37227488646867,-1.69714690074435,-3.15005646346041,-4.38047129186384,-4.66974760763878,-4.87296419630538,-2.05311060392236,-3.97484317937285,-2.98415173401354,-2.36666570059378,-5.11624040920717,-1.95766350018268,-0.800355586202649,-0.237287921904816,-0.276132674546432,1.01540900344731,-0.243458359512536,0.27059114070854,-0.971472623879912,-0.251309509513122,0.706768133401582,1.18290836560128,0.5767870767366,-4.63669222089844,-2.7625
1987-10-01,-0.53036657874582,-0.856571858544434,-2.36001138999399,-3.67301018100647,-3.98941431598448,-4.21369369584428,-3.32788727391462,-2.4088906922556,-2.44210777523078,-3.27919799290998,-4.48985507246378,-1.14855218266118,0.0561256427453571,0.573707428876084,0.452731416750865,1.54525575922781,0.00769079597392757,0.0376586679332337,-0.653028963467894,-0.224990226817023,0.260142659878489,0.820107609869165,1.23788518450036,-3.90503389168056,-1.95625
1988-01-01,-0.96467418562154,-1.30441026282502,-2.89088856413419,-4.30492945900703,-4.65358430796795,-4.90293413941967,-3.29420617594519,-2.28893463760315,-2.90426762058723,-2.93899145628058,-5.21839034205231,-1.65392018779343,-0.356657019744027,0.169330229184553,0.0331971977490326,1.0194158301196,-0.178171223488781,0.272431573681969,-1.59263439694494,0.50576338686086,0.0904860107325878,0.342901910810452,0.723598862719903,-4.50909128469472,-2.625
1988-04-01,-0.890593551598258,-1.23968445942734,-2.90116866720147,-4.41616717489781,-4.79845740787843,-5.07437507639003,-3.63504439777867,-3.5915839548823,-3.25032004896532,-3.55288207628047,-5.43227699530517,-1.64221814907711,-0.259732354387971,0.262356960471983,0.0989985556603017,0.978846906860326,-0.2488180744689,0.11530628459129,-1.22087566682406,-0.180867773139828,0.811928738794989,0.171581402994991,0.36188267029864,-4.59186894568924,-2.7875
1988-07-01,-1.61090657672492,-1.99159468157973,-3.78650593468563,-5.43413367008458,-5.85842246195484,-6.16738087767586,-4.11259613315798,-4.66891658761964,-3.57625173117221,-4.52380047221189,-6.57804414003044,-2.49717388621498,-0.955351104529171,-0.354476087478993,-0.454465824873104,0.422166081005194,-0.483297555753201,0.422266374981563,-2.15760428487409,0.391246534589875,0.28383828878795,0.85342449324854,-0.0544493070936349,-5.57538267952932,-3.90000000000001
1988-10-01,-0.87163795285062,-1.25807820453812,-3.12527006085811,-4.88099910421711,-5.34358861460763,-5.6836547954484,-4.88830624618246,-3.92019267400342,-3.0921280994452,-3.70692197183513,-6.14576082932248,-1.81840799703813,-0.190248835713881,0.393845199987965,0.246004709061623,1.00447858254855,-0.22287894135137,0.0540848492081796,-2.04299535241887,-0.35196212301189,0.777967297329832,0.367997493693456,0.677239370632503,-4.99171673582233,-3.28125000000001
1989-01-01,-0.660872527058238,-1.04433295244557,-2.96249409552072,-4.81916564393202,-5.31997980003999,-5.6917763706154,-4.73065306071058,-3.13246236041622,-3.48100908276629,-2.80594628833127,-6.20767567567567,-1.64273968705548,0.0501797491271105,0.591041888410331,0.372132817395872,1.00376864412602,-0.0651885888990205,0.170187571675787,-1.76099996071296,-0.199587135207043,0.043688158385654,0.862451716016634,0.358030758005705,-4.900219525498,-3.1875
1989-04-01,-0.0778831565697828,-0.437494431859236,-2.35255616412225,-4.28603927574351,-4.82103506035691,-5.22234038552233,-4.4643998095581,-3.96479150687913,-3.84255299966934,-2.90249462758861,-5.7903157894737,-1.02723991797676,0.671051334630263,1.10123280672251,0.747322405109799,1.20443178673439,-0.0208865700109033,-0.0309430319315388,-1.20435294840694,-0.399252648335717,0.243227546793706,0.142865995020761,0.803376955869219,-4.34151810813448,-2.60625
1989-07-01,-0.489463151695453,-0.837556748407387,-2.77636104849223,-4.80021507281905,-5.373769007545,-5.80843793629807,-4.75339871737213,-4.44395520451222,-3.16306701851919,-4.07790026642986,-6.43574846206425,-1.44331983805667,0.29687108361324,0.666768216793209,0.248524630303422,0.627212233082567,-0.230241098022639,0.229871800830305,-0.911488636522414,-0.111403039221013,-0.034278106017906,0.362227483538481,0.0510821808133867,-4.82714679594127,-3.1125
1989-10-01,1.5108295803424,1.24113750286281,-0.547197110675384,-2.5763219163031,-3.16981431930599,-3.62492696397064,-2.65051394121981,-2.56390747235148,-1.91531674137475,-2.10902085633992,-4.2939060939061,0.780702841462336,2.36557271842082,2.44979528207376,1.73352381041484,1.80875812699103,0.383489520820978,-0.418549594027393,1.45798725606034,-1.38688958095788,0.00370552369484122,0.201807239769501,0.721386235599029,-2.59083743882123,-0.812499999999993
1990-01-01,1.637180937529,1.45072837693924,-0.16045199576326,-2.17661827341662,-2.78621701090822,-3.25944129041529,-2.32871075273462,-1.72405328623957,-1.22136483887247,-0.688385954198161,-3.96786757546251,1.16443524829601,2.57040973950258,2.367378638841,1.38913685155202,1.2431161766257,0.35249902883498,-0.0184055798422393,0.91878200640746,0.323630078387752,-1.3427056916779,0.0743068380768825,0.303600354683451,-2.18171781632618,-0.368749999999991
1990-04-01,1.30187412206149,1.18679670019389,-0.260689317928261,-2.26384766647833,-2.88980200298491,-3.38177726129599,-2.77881514368114,-2.62884860296426,-2.50874219755826,-1.66337861468757,-4.13193037974684,1.06534458509142,2.31179090482888,1.87031447115347,0.717024964114955,0.473366879671083,-0.0656498806680941,-0.11162227328082,0.438304333700242,0.37897888499093,0.249265837285268,-1.22484609583493,0.0700403121721353,-2.25901124836581,-0.431249999999999
1990-07-01,0.0453819929846375,-0.0420142076399799,-1.4209407772309,-3.4512324838799,-4.10348666549288,-4.62214364326623,-3.59828846664477,-3.64965855883553,-2.18215043419926,-2.93900156314923,-5.42777777777778,-0.0896849593495901,1.10425544998421,0.570744291529259,-0.57499757038677,-0.711904782666608,-0.407836396337738,0.380863502470563,0.0243974971460047,0.323052398186466,0.314253354527192,0.234078547371124,-1.30870765444901,-3.42798653578347,-1.69375
1990-10-01,-0.560405348795271,-0.643270759966867,-2.00240466076787,-4.07936904305639,-4.76323292958421,-5.31319949783611,-4.4833672304804,-4.68055746082259,-3.86405417707857,-4.03359755171622,-6.1834086118639,-0.66576441266421,0.52680205918525,-0.0311051315096336,-1.0929329513547,-1.05551282049026,-0.539769492322017,0.412735067742586,-1.69261405908515,0.967934637163366,0.506790414970545,0.121494514189228,-0.35287442113797,-4.03367567544598,-2.36874999999999
1991-01-01,-0.632449695300792,-0.716229029276604,-2.06322249610137,-4.1872989719988,-4.90353462164565,-5.48608565507664,-5.04894693889632,-4.73386253108834,-4.23922566619452,-3.31837445977435,-6.42497796062299,-0.721953318500475,0.473947357373738,-0.1011225107966,-1.0769352210113,-0.883398988361677,-0.338238586721794,0.33164046362132,-2.21879715735418,0.178648117607254,0.899604642768841,0.49827689104615,-0.21010734517902,-4.11919489283472,-2.54375
1991-04-01,-0.755852391503701,-0.847198017084018,-2.19458467642711,-4.3689049397919,-5.11891303908543,-5.7358387881433,-5.38204361324399,-5.47865418073425,-5.51927453709193,-4.67978230372367,-6.74853700516351,-0.849822820694541,0.359626192869982,-0.219596392484029,-1.1014268688509,-0.762230010734605,-0.276700067213181,0.222529379119424,-3.15400581058648,0.197551881553618,0.750683988035324,0.848831908661197,0.193430233002295,-4.27792830881317,-2.81249999999999
1991-07-01,-1.71699857283031,-1.8498467393775,-3.28174955055885,-5.54561828975717,-6.33992073441724,-7.00011272352054,-6.40119310957191,-6.38005128077273,-5.79668195716874,-6.19919175114498,-8.10361344537815,-1.93952804377565,-0.629631900875829,-1.11154994038149,-1.7965485942496,-1.22423225037276,-0.660072505380643,0.388571631506785,-4.19941640458336,0.0257241125842161,0.936146661900136,0.940930032152142,0.463267988864719,-5.4238189472221,-4.1125
1991-10-01,-0.928057821648203,-1.07799517330682,-2.53581762459562,-4.85999193023578,-5.69207639340148,-6.39136141887773,-5.46727107804274,-6.40630185267678,-5.73635757143302,-5.97639467280875,-7.58166894664843,-1.1944101136846,0.150955190853779,-0.319153933148037,-0.919478307151174,-0.259832253540353,-0.346280912066218,-0.032523524824791,-1.6913826910162,-0.97796959014557,0.919440468140975,1.26994753578567,0.517374001843325,-4.7140793780388,-3.49375
1992-01-01,-1.55570930743066,-1.74410900392878,-3.28381877920268,-5.69485703199427,-6.57216405532223,-7.31720974593895,-6.62733531882039,-7.30688813059439,-6.69111995404683,-6.26459943130629,-8.6084202085004,-1.94979405117737,-0.511540014727892,-0.904377963701243,-1.35580009765246,-0.554764056060989,-0.395823254976726,0.268546469530804,-3.63783495717911,0.372368738617853,-0.381327395273227,0.813786034422717,-0.119008167075396,-5.51958303507822,-4.44375000000001
1992-04-01,0.375624584103697,0.212479095264911,-1.2518886035815,-3.67158651640055,-4.57476102690288,-5.35118179393493,-5.3191831206782,-6.34744472744165,-5.44386713806627,-4.79638942113996,-6.72210031347963,0.0897238561516005,1.45707696883597,0.94171700915215,0.407138850233764,1.09096997414637,0.189548574644958,-0.397133310415956,-0.367691286947477,-1.56937982018021,0.729352490958295,0.358558582177234,0.864414891487385,-3.4841736057394,-2.51875
1992-07-01,0.472222346556492,0.338285828679119,-1.03716080929387,-3.45460368448943,-4.38091809405589,-5.1871857936378,-5.59845473471676,-5.89359862229639,-4.6922821271733,-4.79702917855778,-6.63792134831461,0.315615423901946,1.59858699353082,0.95485221707132,0.3418234620856,0.927457534141375,0.31240255056898,0.0723076533118817,-0.13798492611715,-0.0753204456431503,-0.971761986107399,0.882387328980522,0.32173773091049,-3.25742179658963,-2.46875
1992-10-01,0.53889128592192,0.436581560467381,-0.839087449877908,-3.24402086503712,-4.19074370299932,-5.0252635813512,-5.09715663201333,-6.41822524720547,-5.21125721684,-5.21326442332682,-6.55580524344569,0.528703132073915,1.71566591688722,0.940508351506338,0.256549603577547,0.763924903518358,-0.100410201425319,0.017644760694491,-0.303587744680943,0.089476116971269,0.227273912733393,-0.668655288213592,0.374744216880757,-3.03930235708689,-2.39375
1993-01-01,0.260366056087527,0.180148061577825,-1.01450809487057,-3.4109026819313,-4.37887328421058,-5.24287049588428,-6.45956471679614,-6.68979113914533,-5.58837100628981,-5.34422043777245,-6.85819291819292,0.368026755852846,1.47623643926589,0.600968872539418,-0.109378350235382,0.375812485679354,-0.219271404184429,0.134498368686563,0.593034353808885,-0.266451273291558,0.0130407538774228,0.393069361085864,-0.96398418017461,-3.1978230873196,-2.7
1993-04-01,1.15110215097425,1.12167578011492,0.0858087272586943,-2.25799905891567,-3.23534109363561,-4.1196993143395,-6.59788004743942,-6.03419292744874,-5.91068359410848,-4.82027674740284,-5.80640229335881,1.49888568654347,2.44831836421762,1.38717156123509,0.562274298492163,0.937095013460819,0.111510436000685,-0.17288122815077,0.214959204204115,0.118589522765401,-0.172653920084673,-0.0121611310222242,0.195623975239959,-2.04620783994881,-1.64375
1993-07-01,0.87813256755112,0.889581819494047,-0.00377878169425827,-2.29554722044166,-3.28174200202739,-4.18638870681905,-6.27113670629114,-4.86124599945229,-5.49121239730943,-5.04886054177554,-5.94691444600281,1.4415512816687,2.24478827847572,1.02846063704136,0.137958390473962,0.467705594411854,0.0513189522734098,0.103659789077157,-0.44789320682861,0.317611569493738,-0.0775279906118639,-0.0947437716679544,-0.0608835771049499,-2.08478305693883,-1.81875
1993-10-01,-0.319052622269069,-0.30800172004372,-1.15610561580219,-3.43708834904276,-4.44240398567926,-5.37612547763169,-6.08102698360108,-6.95967880361171,-7.43311174833255,-7.81296584338781,-7.22932967284375,0.306307119893084,1.05374101434093,-0.197659110824262,-1.01145458495842,-0.572205571152722,-0.505114656574534,0.309994567873426,-1.54661616358787,0.505438618197615,0.7320870038871,-0.122768856385139,-0.630640496761567,-3.21835194714534,-2.96874999999999
1994-01-01,-0.709392478209573,-0.713865129822054,-1.55338672365282,-3.8372553551035,-4.8648876885855,-5.83079253159782,-5.50843280636008,-7.62834819804099,-8.25821070052381,-8.12652128503429,-7.78573348264278,-0.080078387458002,0.642312343427115,-0.604228704850563,-1.30156671839717,-0.723861462166006,-0.610511139454197,0.210169772280755,-1.15816166929145,-0.365559382692252,0.858047263586151,0.816769461895834,-0.411389313561792,-3.60793475204911,-3.34999999999999
1994-04-01,0.593297299309157,0.614640255204847,-0.111937603083803,-2.34300865659728,-3.3775994556275,-4.36336727844395,-4.21623849281028,-7.90091681974832,-7.37044880359077,-7.17742393690035,-6.40026315789474,1.39698317959848,1.99010406170063,0.625601080959214,-0.0987127706802795,0.451659111543485,0.122759974237273,-0.112393198604593,-0.657629272785193,-0.59339010969977,-0.0500425301233671,0.881023047839176,0.708364597505278,-2.11573231271658,-1.81874999999999
1994-07-01,-0.057369319354649,-0.0327661550597469,-0.699740507117824,-2.89845050961701,-3.94463898542475,-4.95440422029483,-5.02021916767473,-7.65251337890925,-6.46146877970052,-8.25363215952617,-7.08410652920962,0.835882600462867,1.34593619234635,-0.0714758966691633,-0.744976699069106,-0.137427425548033,-0.0572943466024138,0.222962265733767,-2.17164967417026,0.422566785731516,-0.142882736818202,0.178341658391106,0.538557945127238,-2.66881867288787,-2.41875
1994-10-01,1.34240674765517,1.41531397068294,0.923799456490428,-1.17976379365934,-2.21981495325647,-3.2389056315213,-2.00062215242644,-7.68937618874565,-5.81467524318802,-7.57172268376055,-5.43614559225752,2.51839667450859,2.83176035550116,1.23218210060007,0.465416609061123,0.972934224014523,0.209985425954957,-0.340445473156674,0.812359216463669,-1.36092525963687,0.41897566263542,-0.0248891747182882,0.499621020597668,-0.961772441599877,-0.768749999999997
1995-01-01,0.512777252209055,0.605601961306789,0.22444107674589,-1.80845386764202,-2.84772042039019,-3.88067989916717,-2.88954620064888,-8.64286034228154,-6.78474328043263,-7.4703669856238,-6.15683364254793,1.86691403834261,2.03847719465824,0.3374440037041,-0.420693246005023,0.105251185231019,-0.0349379507695875,0.251346473526777,0.0110089470578663,0.600673683922603,-0.871815072143369,0.465195597768893,-0.0417680129210295,-1.59655153278538,-1.4875
1995-04-01,0.877349966575885,1.00050174086071,0.759827369286299,-1.18089519365459,-2.21238154399015,-3.25329987766882,-2.06289551496563,-9.2761607018923,-8.30964440625251,-7.81573864738671,-5.59933333333333,2.46327992799279,2.45906649488479,0.625737842773454,-0.154844529745809,0.355208166900461,-0.0704809786872657,-0.1420174359846,0.0796085763436642,-0.0803986497146732,0.544187663070038,-0.525643593817903,0.169512900227364,-0.979874392368302,-0.962499999999999
