"date","c.hp10","c.hp3k10","c.hp25k10","c.hp125k10","c.hp221k10","c.hp400k10","c.hamilton13t10","c.hamilton20t10","c.hamilton24t10","c.hamilton28t10","c.linear10","c.quad10","c.poly310","c.poly410","c.poly510","c.poly610","c.bn210","c.bn310","c.bn410","c.stm10","c.ma10"
1986-01-01,-8.46096811243382,-8.46096811243382,-8.46096811243382,-8.46096811243382,-8.46096811243382,-8.46096811243382,-8.59468885590536,-3.08224445716061,0.0744880609635459,-0.284770358302239,-8.20573170731709,-7.18430313588848,0.791201685438779,3.2090509462177,1.82121770742015,1.92463488618731,0.112600571454046,0.491461605554655,-1.26864346493175,-7.17251473807141,2.39374999999998
1986-04-01,-5.52412482895474,-5.52412482895474,-5.52412482895474,-5.52412482895474,-5.52412482895474,-5.52412482895474,-7.59385096968973,-3.44217522487213,-0.863364968876652,-0.198221348077027,-10.1229268292683,-7.58141986062719,1.03129000891337,2.35694129325012,0.855087918321061,0.574793151495498,-0.0100325551125869,0.0115474158242558,-2.45257655442953,-5.25366595117654,0.15625
1986-07-01,-6.24555773044085,-6.24555773044085,-6.24555773044085,-6.24555773044085,-6.24555773044085,-6.24555773044085,-8.5268050427778,-2.491800461179,0.737754150300447,-0.210803665569443,-11.5470731707317,-7.33949477351916,1.65578316181833,1.90162687567678,0.496572990254208,-0.14894954252901,-0.0519547763231819,-0.080282865966336,-2.9562113567468,-6.65717317944987,-1.45624999999998
1986-10-01,-6.43446637367285,-6.43446637367285,-6.43446637367285,-6.43446637367285,-6.43446637367285,-6.43446637367285,-5.40362379741347,-5.16579745907754,-1.82442521961818,-1.18593215204751,-17.0095121951219,-10.3618641114982,-0.932388785349644,-0.761866395091005,-1.72285051307179,-1.78249081358325,-1.14489938152965,-0.403157842658768,-5.89553110756458,-8.48027462009176,-6.96250000000001
1987-01-01,-10.1144968470846,-10.1144968470846,-10.1144968470846,-10.1144968470846,-10.1144968470846,-10.1144968470846,-12.4008460063459,-4.20931935542106,-4.57672536051916,-1.01355773933577,-20.5512195121951,-11.2320557491289,-1.36387650919696,-1.09689836538956,-1.6133135667508,-1.14941983772749,-3.98543100758126,-2.40522111555328,-24.7911957691025,-14.7649720035907,-10.7875
1987-04-01,-11.7090357858349,-11.7090357858349,-11.7090357858349,-11.7090357858349,-11.7090357858349,-11.7090357858349,-7.15995713020968,0.0378126478414629,-1.04800256826729,0.170228047116467,-19.2818292682927,-7.80992160278745,2.0077173648813,1.50652232764401,0.983823802402924,0.897131803496876,-1.86538656085553,-3.16868062853903,-13.1520037238386,-18.1908945019378,-9.75624999999999
1987-07-01,-8.95901782513411,-8.95901782513411,-8.95901782513411,-8.95901782513411,-8.95901782513411,-8.95901782513411,-6.25273692029219,-0.956946151546958,0.944430747515014,0.885234938769742,-18.764512195122,-5.24482578397212,3.81357183372498,2.55096168720672,1.50494070025266,1.02476152309535,-0.146779175879104,-2.33030524433742,-14.56459518638,-17.7846579346555,-9.53749999999999
1987-10-01,-7.19890658049869,-7.19890658049869,-7.19890658049869,-7.19890658049869,-7.19890658049869,-7.19890658049869,-3.77217366295623,-3.95248911125275,-1.20010422325919,-0.0917272223467194,-22.2448780487805,-6.5835975609756,2.03842314237097,0.400958464394378,-0.484743464136585,-0.830978754099704,-1.01327783704225,-1.40915937824647,-18.9346708904045,-17.7605591290896,-13.2
1988-01-01,-9.30660357504514,-9.30660357504514,-9.30660357504514,-9.30660357504514,-9.30660357504514,-9.30660357504514,-7.72869939808032,-5.09180927902133,-1.74925860689723,-1.17068198113628,-24.5571951219512,-6.72483449477352,1.47127299246415,-0.320037513535823,-0.903028154488638,-1.00327992059019,-3.94253590386143,-3.7118205196797,-17.4846440576258,-22.0209992430791,-15.94375
1988-04-01,-10.2230331354729,-10.2230331354729,-10.2230331354729,-10.2230331354729,-10.2230331354729,-10.2230331354729,-3.16017975751541,-2.77010004888548,1.28744489151265,2.89234767359342,-19.9834146341463,-0.844433797909403,6.0525840693623,3.15179123910691,2.08261795493216,1.22992348763216,-1.74336928419135,-3.73160507981788,-11.2875559580693,-24.2031308006575,-11.8125
