"date","c.hp15","c.hp3k15","c.hp25k15","c.hp125k15","c.hp221k15","c.hp400k15","c.hamilton13t15","c.hamilton20t15","c.hamilton24t15","c.hamilton28t15","c.linear15","c.quad15","c.poly315","c.poly415","c.poly515","c.poly615","c.bn215","c.bn315","c.bn415","c.stm15","c.ma15"
1986-01-01,-0.441974734375975,-0.441974734375975,-0.441974734375975,-0.441974734375975,-0.441974734375975,-0.441974734375975,10.4028394894566,10.2145258693016,3.27421018895448,-1.08461424865618,5.47415300546447,1.61403490216816,-3.12547270697455,-6.58778167048591,-3.4011185066916,1.54487479491164,0.243558762224136,-0.939556433123341,-0.721416989132057,6.06643805574683,10.15
1986-04-01,-1.31122358064952,-1.31122358064952,-1.31122358064952,-1.31122358064952,-1.31122358064952,-1.31122358064952,8.92152209691879,12.8177622613521,3.24447228484397,-3.57197663233133,4.00896174863388,0.0378397673188715,-4.56947176684881,-6.89533738028085,-2.55016383272989,2.28022694375431,0.293852456431258,0.185659127083175,-1.79888976028641,5.2639661831261,8.31875000000001
1986-07-01,-2.53632199389567,-2.53632199389567,-2.53632199389567,-2.53632199389567,-2.53632199389567,-2.53632199389567,9.33390354567658,9.83778649602395,3.68459495904554,-2.74336242855587,2.80109289617486,-1.14960338445266,-5.52732005405721,-6.5569211249192,-1.33306324492528,3.1728367418532,0.11067505883883,0.0241276750136609,0.247093408810099,3.79956109166075,6.65000000000001
1986-10-01,-3.29930020036075,-3.29930020036075,-3.29930020036075,-3.29930020036075,-3.29930020036075,-3.29930020036075,5.45169827100584,5.10247605582863,3.56969168182162,-2.452626126531,1.28491803278689,-2.51518773135906,-6.52472178153828,-6.13345029819614,-0.303104787861457,3.73576166286944,0.239413114185942,-0.40235043890171,-0.856375539875527,2.41120730388418,4.72500000000001
1987-01-01,-4.15583435319255,-4.15583435319255,-4.15583435319255,-4.15583435319255,-4.15583435319255,-4.15583435319255,1.4443077834914,7.66544508634914,6.15387058639834,2.13404472558938,2.60005464480874,-1.22464569011106,-4.93088313061872,-3.49400945267054,2.4375745942318,5.41829257854329,-0.784320995726681,0.430327563598466,-0.229463758666703,0.598117339854397,5.76249999999999
1987-04-01,-2.42949839450493,-2.42949839450493,-2.42949839450493,-2.42949839450493,-2.42949839450493,-2.42949839450493,-0.527082503993938,4.06581217541587,6.24781523273823,3.33687311959221,0.224535519125681,-3.55241671073506,-6.52970914859863,-4.0764179005817,2.18370993166012,3.9864957151963,0.934494851124422,-1.26056842349042,-0.492487547558151,2.10994401358455,3.13124999999999
1987-07-01,-4.11285469676555,-4.11285469676555,-4.11285469676555,-4.11285469676555,-4.11285469676555,-4.11285469676555,-1.38086007815888,7.23663245648203,4.83293223966518,6.27808286240858,-1.08431693989071,-4.6569857218403,-6.85815147776015,-3.34914764380986,2.95273252857669,3.55194855184507,0.00550016592725078,0.928639513283236,-2.07741963232039,-0.27114852726136,1.73125000000002
1987-10-01,-4.56719931524746,-4.56719931524746,-4.56719931524746,-4.56719931524746,-4.56719931524746,-4.56719931524746,-3.07624138003175,6.26044431834097,6.25822019235953,9.89871302252472,2.18491803278688,-1.46091750396616,-3.2447570362536,0.707342712556539,6.31157008908598,5.09899991016906,-1.29096351097538,0.48961498947312,2.37107860098647,-1.42610907714149,5.20625000000001
1988-01-01,-0.991067472560673,-0.991067472560673,-0.991067472560673,-0.991067472560673,-0.991067472560673,-0.991067472560673,-5.4282017377225,5.80087054158274,3.90427231486407,5.13157867342669,2.04273224043716,-1.63033315705975,-3.01738527528057,1.33696824137728,6.07267725664077,3.30764729013391,0.237496751409271,-1.09072280528173,0.739273094424216,1.75170386611784,5.38125000000002
1988-04-01,-0.828073709528255,-0.828073709528255,-0.828073709528255,-0.828073709528255,-0.828073709528255,-0.828073709528255,-4.09038763771794,5.12325069974938,4.53165672569662,4.00546516816871,1.63497267759563,-2.06102591221575,-2.96102356190141,1.67818155443915,5.55130054305822,1.43346925890644,0.0644804951883234,1.16592880101683,-0.198676475424771,1.7938613261872,5.20625000000001
1988-07-01,-0.918742943754893,-0.918742943754893,-0.918742943754893,-0.918742943754893,-0.918742943754893,-0.918742943754893,-1.69844359060978,1.88662566775807,6.8356610867508,5.82396289917502,1.22546448087432,-2.40390269698571,-2.85409953581292,2.08179516275925,4.94347374201688,-0.143782229249268,0.0326870740029142,0.0824405105959263,2.66945813153135,1.63473610728013,5.07500000000002
1988-10-01,-0.970826372574294,-0.970826372574294,-0.970826372574294,-0.970826372574294,-0.970826372574294,-0.970826372574294,-0.644941865255291,-2.27780594401827,4.15809916878015,9.65598370440759,2.95333333333332,-0.665721840296143,-0.981042364416254,4.07903464510251,5.43168902290199,-0.336184126223856,-0.620300701386561,0.408848063044411,1.28933040044954,0.935419551367673,7.25000000000001
1989-01-01,0.847510613987794,0.847510613987794,0.847510613987794,0.847510613987794,0.847510613987794,0.847510613987794,-2.90535197125153,-4.75884756995437,2.4735091767164,7.09830441625628,3.75907103825135,-0.0152855631940838,-0.130494153593062,4.74115841118748,4.68397932514335,-1.56587040163107,-0.113368285559918,-0.281481858554472,1.91456638348856,2.59241362794748,8.57500000000002
1989-04-01,1.56282229388484,1.56282229388484,1.56282229388484,1.56282229388484,1.56282229388484,1.56282229388484,0.144130023080422,-5.21662213039644,1.87334555649724,7.59807240737727,4.51710382513662,0.492786885245906,0.584686526822964,5.0588992449615,3.70050487125252,-2.74891959551886,-0.16899071420266,0.647094675780582,1.78940798726179,3.67299592770159,9.72500000000002
1989-07-01,2.09976458685304,2.09976458685304,2.09976458685304,2.09976458685304,2.09976458685304,2.09976458685304,2.67099128450594,-10.3564638923251,-2.13632861398376,9.17832675224625,4.33224043715848,0.17544949762032,0.396160761501861,4.61404019037545,1.95906749583048,-4.00839460534965,0.0895621369604326,0.20633614469891,3.20201279378222,4.25375248203119,9.83750000000002
1989-10-01,1.76205548300663,1.76205548300663,1.76205548300663,1.76205548300663,1.76205548300663,1.76205548300663,4.76373545809415,-9.3446027378089,-5.43311803448356,10.839685733942,7.15508196721312,2.60119513484929,2.7468511663435,6.27661584111874,2.20889013749337,-3.26269037546177,-0.844900341602425,1.17175704905215,4.52719963077219,3.77035894418988,12.975
1990-01-01,4.01059997381343,4.01059997381343,4.01059997381343,4.01059997381343,4.01059997381343,4.01059997381343,7.10939343566616,-4.87116624748312,-4.71017722163674,7.62096884832425,9.34836065573771,4.13129296668428,4.19891297961102,6.63552389975908,1.45245510108606,-3.5128324451848,-0.134193355323199,0.282327324942774,7.25031127827212,6.65973405348674,15.4
1990-04-01,5.31902603423015,5.31902603423015,5.31902603423015,5.31902603423015,5.31902603423015,5.31902603423015,8.57521765841241,-1.11918024947826,-1.70880974304853,6.93250716959439,12.1072677595628,6.05910100475938,5.83297961102298,6.95952409806685,0.775779095309716,-3.52752239860818,0.00425972358544072,3.06518829282881,10.1944383731335,9.01305348300365,18.31875
1990-07-01,6.88613653195233,6.88613653195233,6.88613653195233,6.88613653195233,6.88613653195233,6.88613653195233,14.5678764014211,2.39481831655098,-1.6580930098355,6.18263675168424,16.2034972677596,9.11467741935485,8.18123273987896,7.80254421528879,0.534632062807617,-2.93095514854444,0.797537748340288,6.11487441163368,29.0141911179014,11.9346703446933,22.5375
1990-10-01,9.34445218613305,9.34445218613305,9.34445218613305,9.34445218613305,9.34445218613305,9.34445218613305,18.6430835122414,1.51440998824957,-1.83035058613405,0.0973868920235077,17.7904918032787,9.67930724484401,7.88990069921853,6.25513470239143,-1.83087967294469,-3.78415373428848,2.41681056678389,6.05773376283534,28.3643859977297,16.0131596272822,24.175
1991-01-01,9.26174943127556,9.26174943127556,9.26174943127556,9.26174943127556,9.26174943127556,9.26174943127556,11.9401278373935,3.08519291348512,-0.816022300471701,-0.47446172032754,17.6054098360656,8.58810417768377,6.0379834302838,3.5608380706857,-4.85920437904244,-4.57526058828006,1.51639391024849,8.27611455441216,20.7453397131689,16.977551693369,24.11875
1991-04-01,7.62887721285257,7.62887721285257,7.62887721285257,7.62887721285257,7.62887721285257,7.62887721285257,15.9752623371111,7.42647366060878,1.64458071957311,2.01920951410979,17.2528961748634,7.24459809624537,4.3398237264234,1.04108826899348,-6.88164386974742,-4.36761976433695,0.693705677972309,4.81873083784255,18.5558907196082,16.5417266772549,23.6375
1991-07-01,5.99279382478733,5.99279382478733,5.99279382478733,5.99279382478733,5.99279382478733,5.99279382478733,21.9012726681386,8.232057622532,3.34569549072469,2.19951328792979,18.6684699453552,7.54258857747223,4.37728891239203,0.140531905517378,-6.85967421592161,-2.53538349672709,0.231857723357776,4.49106476173627,15.1331865470485,16.0823754538511,24.775
