"date","c.hp_r20","c.hp3k_r20","c.hp25k_r20","c.hp125k_r20","c.hp221k_r20","c.hp400k_r20","c.hamilton13_r20","c.hamilton20_r20","c.hamilton24_r20","c.hamilton28_r20","c.linear_r20","c.quad_r20","c.poly3_r20","c.poly4_r20","c.poly5_r20","c.poly6_r20","c.bn2_r20","c.bn3_r20","c.bn4_r20","c.bn5_r20","c.bn6_r20","c.bn7_r20","c.bn8_r20","c.stm_r20"
2000-01-01,2.497587727302,2.85197562104449,5.51188906061016,8.41602707426803,9.2515933625975,9.90028688816491,2.63700433874857,11.1922607542524,10.3825520505122,18.3762371617848,11.0051851851852,4.8315740740741,-0.743014061666713,2.56716976306311,1.77872917462926,0.546528808317902,0.460723130305818,0.251475929365286,5.07115635123281,0.767519162392633,1.91595390752481,2.0468014302195,3.39289382830403,7.48230391793693
2000-04-01,2.85961456927456,3.28342230897127,6.1188834264525,9.282428818189,10.213172002102,10.939595374612,3.13926936613984,10.0310215815958,10.3796315094477,17.0257591689913,12.1737037037037,5.08064814814816,-0.156746770278943,2.79478047692123,1.66977144669863,0.275017388256884,0.487994446933003,0.306921281532242,6.03191648149236,3.17365529591787,3.23878146325294,1.64503209303826,4.23080694759201,8.30556395937857
2000-07-01,1.24656274365415,1.68601687270441,4.56482662672371,7.93948281021343,8.95775314850675,9.75698687100983,1.04171419191798,8.13250393122456,7.42501899171135,12.4382255681689,11.0796296296296,3.15710252935864,-1.53550206245035,1.11132565492323,0.0272769285334107,-1.41737672171331,0.0156123662008359,0.225966172917797,4.002664958607,3.72537232397184,6.61840298441908,1.44370302498507,1.47364563452032,7.16980358436498
2000-10-01,4.56575225326338,5.12890186317526,8.33613039392193,12.0186693414223,13.1384684777351,14.0191572872265,4.31492205731158,11.2584893306812,8.51410544074807,10.0749115589046,15.4675925925926,6.64096657633243,2.00243826253521,4.15726700841307,2.52780688832152,0.873568661627701,1.1851472808104,0.0725799010092839,12.2853569787609,7.4197925192354,24.8850246668005,4.07444021026277,7.29794039842348,11.2504535583598
2001-01-01,3.27989959052076,3.92301554075138,7.36624088083352,11.3143885980008,12.525439846618,13.4798552946041,2.62267067505462,8.98392182467703,11.6089036440057,13.4106812551507,15.0351851851852,5.39345076784105,0.903842633406242,2.69175713694892,0.761298764322248,-0.817010421840195,0.920176185619883,1.37451709038786,10.9166568700102,9.89571698275883,17.7231849984054,6.54387661487739,12.6315565862552,10.6047144709372
2001-04-01,1.9387298758638,2.61410664903656,6.18897903761359,10.3392426565933,11.6228777775544,12.6363435445459,1.91395850701468,5.37858356378962,9.64678775216029,10.4016890616358,14.2844444444444,3.96803748870823,-0.314616732512746,1.29997333507472,-0.780030214913722,-1.9704418301591,0.0222835826165031,0.816944219179997,7.91530373486385,6.85960305784394,13.004365933368,2.85235561164167,8.7225303437173,9.63284744800563
2001-07-01,0.983134674336782,1.65495773908413,5.27773440657532,9.59182336182576,10.9392246604154,12.0052137963124,1.19615553828515,2.83076252765827,8.37338498259152,7.16923357535671,13.7271296296296,2.81245596205966,-1.16756249931979,0.345173852591984,-1.71432656978965,-2.40730331167106,0.0278646415452912,0.0452154161391205,8.23927190033078,6.36985026466571,12.0775637667475,4.71290146010971,7.03286046640729,8.95904172765387
2001-10-01,-0.682276920138804,-0.0733781688213071,3.45195920533854,7.83498170591557,9.21804757617895,10.3144452746985,-1.60045100466567,-1.24267599524424,7.33693491828888,3.3774909414924,12.0998148148148,0.771455510388449,-2.80139506535627,-1.16200404599425,-3.05733884685893,-2.99294605142319,-0.162085751126479,0.0196402405531421,0.315582316251459,4.37548208546086,5.21000376646327,2.78431246828652,2.45142507718969,7.11438058752674
2002-01-01,-1.83837410969338,-1.33414237305226,1.9744560913166,6.38567702499688,7.79943912214077,8.92351198034956,-4.72895545625863,-2.20017346657741,4.04369394663945,8.36566397239133,10.7461111111111,-0.9614205058717,-3.87963659516114,-2.17040846312076,-3.57930501857587,-2.92746228315204,-0.23592920728558,-0.230725849181344,-0.371038344481039,0.368499367987886,5.35465740967806,2.84467290292563,3.64750461549013,5.74912091791884
2002-04-01,-0.962740398371466,-0.536203052980653,2.60876277694041,7.05683685305101,8.50080619273328,9.65169806912655,-0.658690391013238,-2.26456933160341,2.44998952026512,9.46514535137356,11.5087037037037,-0.556133694670251,-2.9164770736061,-1.23124353783697,-2.29558876987312,-1.30010965489868,0.195582544436548,-0.266423518777248,0.128475070275571,-0.570244092878298,0.796243330268355,2.68388106979561,3.67693859731204,6.50701696462349
2002-07-01,-1.44034512043532,-1.1070833018029,1.81969961160647,6.26475578928986,7.72761134257937,8.89651474615019,-2.42597903473717,-2.42082962665003,-0.163727541086587,7.81688185077039,10.762037037037,-1.54247967479674,-3.33135142194797,-1.59702998987819,-2.30096421074074,-0.976351510646651,0.189172779161771,0.253092252633556,0.139951343891954,-0.109533789411856,-0.207583800297402,0.156135121559174,4.20906249729997,5.89127275231581
2002-10-01,-1.87010907760859,-1.64314192961407,1.0202859767447,5.39129412771516,6.84630683251825,8.01127768828917,-4.29759082361616,-3.98047662869038,-3.21830665373707,5.05266768380801,9.88796296296294,-2.47448057813912,-3.77073497241,-1.80144357919482,-2.29252079255969,-0.491277537012223,-0.0231438411137996,0.273721876312014,1.06049095144195,-0.0916932566257046,0.388223765976988,-0.643685340008717,0.379771852343677,4.92905951953284
2003-01-01,-2.09174296024898,-1.97568085112792,0.384754564179843,4.67954417286956,6.13186811221377,7.29794364110953,-6.68925712530924,-2.6023562369752,-3.82329074971219,2.76379491146108,9.16509259259257,-3.28595189701895,-3.91287485987311,-1.88372031486378,-1.95180468886545,0.00937200172248254,-0.0148640479151674,-0.0302170892898785,1.38928969965859,0.771236892933157,0.421813498276246,-0.180489669109366,-0.555623659385574,4.34061958158904
2003-04-01,-1.82250255816862,-1.80465144822139,0.263644709388444,4.45803490664576,5.89712199027417,7.05548207879107,-7.87386949178176,-2.57430090456452,-4.45700452695283,-0.190422264642677,8.90564814814815,-3.54041102077687,-3.57663113157238,-1.46819976382494,-1.24177410582871,0.795331489077512,0.0831286524998401,0.00761573465969885,0.507601654020502,1.0614405428016,1.67751634639749,-0.24210272155475,-0.0982048132590915,4.19276294275636
2003-07-01,-2.44589212188993,-2.54193012914357,-0.828619655685344,3.21823639216723,4.63099903985011,5.77152044097178,-9.6080027961896,-4.7487123304295,-5.06917715080141,-3.18547017435125,7.5809259259259,-4.74175361336947,-4.13840473003125,-1.88716077045308,-1.32630708070607,0.771690753669219,-0.052451633974822,0.0957914239266976,0.324565642305927,0.419945835835466,1.83638772074525,0.728208135257435,-0.151786646500518,3.08839205262032
2003-10-01,-3.44932870885904,-3.68708626841052,-2.42065365048114,1.39125145165809,2.74924255953385,3.84915494322814,-10.040894385511,-9.8906792762032,-7.2430760413751,-6.88313563906215,5.60972222222222,-6.39638098464317,-5.12529228023203,-2.55252997083184,-1.67775694040296,0.60824097771328,-0.326410737027922,-0.140295983086022,-0.246532896743843,0.421944577996626,0.33465071040995,1.371474307494,0.658862712683781,1.20596984111879
2004-01-01,-5.77313099653841,-6.22330449215517,-5.61948767402421,-2.14176566810784,-0.858227299908435,0.187220507042269,-14.9647880791141,-5.31147189094099,-8.47418855535003,-9.16364978769045,1.85092592592594,-9.68921070460704,-7.38899244675179,-4.43002531807448,-2.82515289277612,-0.427486782831664,-0.977111441306194,-0.713278898425991,-2.38134624896435,0.545145327749127,-0.371323827574979,1.80364967159776,1.05347670613773,-2.16878270445383
2004-04-01,-6.14283502881037,-6.81079095085462,-6.92251670650998,-3.84645428801039,-2.65937571970548,-1.68597837917747,-16.2308953399086,-9.24981239293547,-9.19866637992044,-10.9239445953435,-0.140185185185203,-11.0372267389341,-7.71055637182877,-4.29336329056065,-2.07143266834254,0.324985828186612,-1.32572938274166,-1.64852197838299,-4.88118371276942,-0.851495991868344,-0.771708187739959,1.74484335448993,1.11943848088394,-3.7591127825593
2004-07-01,-6.14116587570706,-7.01776789419051,-7.86626325643388,-5.23067293075562,-4.15187856205827,-3.25981867956992,-15.4279236502159,-9.90443611324193,-10.8802525327427,-10.9928294435124,-1.85787037037036,-11.9949695121952,-7.63206081779694,-3.78484622772939,-1.04705703252975,1.14133013640475,-0.870925248028237,-2.04368502663988,-6.99648467681136,-2.81291316211718,-2.91514799016404,1.94434731350887,0.905486604770736,-4.94665147618522
2004-10-01,-6.24249827143043,-7.32025034556438,-8.92649873703374,-6.79302124043613,-5.8449285067926,-5.05245510389972,-15.8658801130994,-17.8345196770581,-15.0127789138187,-13.0374340549258,-3.81101851851852,-13.0047402890696,-7.67351492691631,-3.30838489459191,-0.272844105578827,1.69524325463149,-0.961722079504443,-1.60101839170804,-8.06711905956174,-4.54177533153227,-6.08614463832664,0.833790997370859,1.15081818566497,-6.39905391116707
2005-01-01,-6.10403960728701,-7.36607321217889,-9.72959147091262,-8.13186356280175,-7.32609778424026,-6.64255314843942,-12.83356692642,-17.9661773270118,-9.89939087958871,-11.7295139571291,-5.57675925925926,-13.7285433604336,-7.43492370566275,-2.59611562782297,0.600531705972827,2.22323157782245,-1.17628918075663,-1.71605824399527,-5.69267046757191,-5.14496858842012,-7.97129762118193,-0.897799732726751,-0.16620503711289,-7.62520786263943
2005-04-01,-4.4179499758248,-5.79510820026798,-8.77837076928418,-7.68642596856125,-7.0201891423819,-6.44428214745264,-9.20318230243404,-17.4916096403995,-10.2516121274257,-11.2720733372153,-5.54444444444442,-12.66902100271,-5.57259025260933,-0.473537986634909,2.56501662316433,3.57301294983384,-0.496828015806685,-1.4549086810554,-3.88841685045996,-3.25374523550006,-6.47573057259275,-1.59274903036908,-2.12314039347241,-7.1368799690047
2005-07-01,-3.69066578672346,-5.14463276732923,-8.68148653572283,-8.0743655024053,-7.54175382177488,-7.06881359573387,-10.4481815900027,-14.4713337457965,-9.84183541438017,-12.6555496624494,-6.35175925925924,-12.4562929087624,-4.58362751820286,0.594663817873112,3.39385154038769,3.61921510280476,-0.0442384216231439,-0.688346798707172,-3.17343915746216,-2.52377373791051,-4.49355144842717,-2.48476945297482,-3.73343891523173,-7.31506713007096
2005-10-01,-3.26676824438383,-4.77016403246293,-8.80485554617508,-8.71223933294095,-8.33038251693756,-7.9751908176566,-11.3214293374841,-16.6661375477148,-15.9147082603155,-14.9994958576078,-7.4360185185185,-12.3871815718157,-3.92310423264874,1.4078832946964,3.67800533074438,3.32942773648895,-0.483628006997165,-0.19954839231675,-1.95065302490054,-2.09391821268123,-4.21886361313318,-2.41121004291071,-4.63677355154058,-7.95399205100381
2006-01-01,-2.13529391642354,-3.63830214229603,-8.05911136985816,-8.43322973152274,-8.18972293264812,-7.94274053467052,-10.3247838972231,-14.6403934535317,-14.7273270652723,-7.08738109405778,-7.57814814814816,-11.4571059168925,-2.45307974445205,2.77546398330449,4.43770924283777,3.36565661217173,-0.328699909414699,-0.668334966558546,-0.662274889269167,-1.45282856915109,-3.19745062660998,-1.82462850355309,-2.8756387608373,-7.60237472529039
2006-04-01,-1.26299741016072,-2.72578612321831,-7.43181811173147,-8.24651060055936,-8.13856347308442,-7.99835596842578,-8.2658038029289,-13.970000873235,-14.2912018167999,-11.5999428026291,-7.79925925925926,-10.6202958446251,-1.19891740403344,3.80104578204416,4.72599938411383,2.97491794860989,-0.0244753062744731,-0.429455109172084,-1.32418468775237,-0.429792642935045,-1.96907683954703,-1.48926065171852,-2.48735072265931,-7.40321941124711
2006-07-01,-1.09698242076513,-2.50499739425283,-7.45242637977591,-8.69199437937593,-8.71604493362778,-8.67994910977222,-9.01911907040954,-13.8481092550919,-13.2502538231095,-11.391898435317,-8.64962962962963,-10.4271364046974,-0.602295360302975,4.0573970679466,4.29915950106812,1.94307836918216,-0.24945483490337,-0.111275612890716,-1.15268338086335,-0.876484871905079,-0.736286163945975,-0.866892901811569,-2.24847094118513,-7.78694135925539
2006-10-01,-1.97906924857548,-3.35492038160476,-8.58550339765452,-10.2902264020798,-10.4598353200527,-10.5387637246224,-9.25173312484443,-11.8077772880559,-13.8568219016477,-14.1560984713508,-10.6826851851852,-11.3210264227642,-1.06615736659373,3.3217606877374,2.99686330688604,0.310997645689469,-0.914554669126461,-0.688692369706991,-1.58005474482031,-0.353778136072215,-1.79988068221737,0.547014725420078,-2.13343277367019,-9.4036441804146
2007-01-01,-3.19954404419065,-4.57929356481378,-10.1731075797891,-12.3807957030226,-12.7041575096595,-12.9040419992779,-7.95793157319312,-10.5591283450155,-14.8562645457853,-15.5025723897551,-13.2406481481482,-12.6777190605239,-1.84464366952906,2.26594780204829,1.65364750089148,-1.23989424478842,-1.93821145160177,-1.97118782760547,-4.20992841876537,-0.0643427636207693,-2.16955883682696,0.804970766234582,-0.943791185899103,-11.4379899451816
2007-04-01,-2.82456944078803,-4.1930058654238,-10.1013027325343,-12.7948995167655,-13.2687676810894,-13.5873176967093,-1.94368442936224,-11.3064188819259,-14.9587719404242,-15.3407686766641,-14.1258333333333,-12.3551919602529,-1.00667918285609,2.72003882739631,1.81770966057746,-1.33043799858876,-1.91073689939161,-3.12818492391242,-6.7458165916475,-2.1825961467599,-1.91968228272159,0.760665881851946,-1.20200920943898,-11.7106799992865
2007-07-01,-3.10128696949278,-4.46528505355826,-10.6885391334684,-13.8928353511053,-14.5284535445958,-14.9751359524897,-1.32564805156733,-12.3757868965903,-15.1474481556827,-13.460151788837,-15.7271296296296,-12.6349661246612,-0.871640818014612,2.55932034370548,1.31353231673688,-1.88246187427137,-1.47115200364407,-3.24758540507184,-10.1657294156328,-4.12383677724249,-5.1308500013897,1.69129980562759,-1.87264477569054,-12.6948218569691
