"ID","date","c.hamilton13_panelr20","c.hamilton20_panelr20","c.hamilton24_panelr20","c.hamilton28_panelr20"
"JP",1996-01-01,-2.97823033034948,-1.17738533405892,-7.67610654765643,2.17009765176687
"JP",1996-04-01,-4.19635178528112,-1.64557704266096,-5.9592130724388,-0.688573822893704
"JP",1996-07-01,-5.27765240042544,-3.03016448900892,-8.15125837809009,-5.52511641898606
"JP",1996-10-01,-6.80103741136735,-4.83061415331891,-8.65225223476039,-7.34472060548183
"JP",1997-01-01,-13.177570137412,-6.29178051296249,-8.76907384249336,-14.3245022374245
"JP",1997-04-01,-11.685655353144,-7.45691814341462,-8.71701592613661,-12.8326190035006
"JP",1997-07-01,-9.51816771792405,-8.89774583484811,-10.0664234879192,-15.1222752676566
"JP",1997-10-01,-8.72257884786757,-10.0793294195846,-9.59340623795937,-13.2956791544596
"JP",1998-01-01,-14.6316626426178,-12.206703567157,-10.8244890793916,-13.7250957422142
"JP",1998-04-01,-13.5216395183887,-13.1608653997096,-11.3838378364078,-13.6624352197426
"JP",1998-07-01,-8.86320783920275,-14.4738991610177,-11.3626228773472,-13.0789028588217
"JP",1998-10-01,-14.4225657560109,-21.271209591407,-19.0621747546881,-19.079504188912
"JP",1999-01-01,-19.8332197942934,-22.4059925954693,-21.4572764044591,-20.7510132609958
"JP",1999-04-01,-19.2396988297165,-22.4340627167638,-23.562438862578,-22.6257530826876
"JP",1999-07-01,-16.2848777297421,-24.4182696941552,-25.8950149558905,-23.2515723740393
"JP",1999-10-01,-12.3842743159033,-23.2933172486194,-24.8888648770003,-22.8330030660749
"JP",2000-01-01,-17.2269203412409,-24.1863649068799,-25.3346330867493,-24.2729728822657
"JP",2000-04-01,-16.2569621851183,-25.1198788128113,-27.2166293509249,-28.3365679389653
"JP",2000-07-01,-15.4453215781748,-26.4114287898584,-28.8183687740391,-30.2555525874251
"JP",2000-10-01,-16.8442404516173,-28.5924107500867,-31.4604200168974,-32.9194614026388
"JP",2001-01-01,-23.4234010873538,-28.4751836257231,-32.3055956303644,-33.1176316157498
"JP",2001-04-01,-21.7509934263099,-28.5270522792057,-32.3230943342509,-34.2200568046082
"JP",2001-07-01,-21.1892263708835,-27.7766593054244,-32.8561374159535,-35.326669896629
"JP",2001-10-01,-21.417244237341,-27.8865222371603,-32.3094137478919,-34.9012297313558
"JP",2002-01-01,-16.5852909338168,-24.1786900960061,-30.6316331956771,-33.8629590056889
"JP",2002-04-01,-14.0744024196711,-24.5216891832386,-29.767190968587,-33.0412003697536
"JP",2002-07-01,-15.0157612054078,-26.5204828448899,-31.2162286218504,-35.3971813332439
"JP",2002-10-01,-15.360159723346,-28.2627019514059,-30.8756626979021,-34.440054091098
"JP",2003-01-01,-22.4253166699523,-26.6627824240402,-29.5757975775007,-34.7677541268791
"JP",2003-04-01,-21.7157071920968,-29.5708621514787,-31.5865579502622,-35.9690772558359
"JP",2003-07-01,-18.9251993863332,-32.3539181849227,-33.2265486959793,-37.0713644244602
"JP",2003-10-01,-18.5756815461422,-27.7127316451332,-34.5772982990052,-36.9528265261437
"JP",2004-01-01,-20.7663706836931,-27.8598040289248,-34.4145414338559,-36.7586527194294
"JP",2004-04-01,-20.9934781982032,-29.0040093239409,-36.283212133172,-38.2397575255454
"JP",2004-07-01,-19.8682560610529,-30.8982374309452,-38.0015574230714,-39.0493673608261
"JP",2004-10-01,-20.6182421970915,-34.1611449241238,-33.7665612675105,-39.7470393539197
"JP",2005-01-01,-22.4300237509331,-30.1186871141218,-30.7511663928896,-36.4176927452905
"JP",2005-04-01,-24.3253446979498,-28.3928762765667,-31.3884699331186,-38.4993515385126
"JP",2005-07-01,-21.8786662964889,-27.2142776316607,-30.9329227583784,-37.7868441553006
"JP",2005-10-01,-18.1912307924362,-25.9720708843726,-33.8224650133185,-33.3114255800253
"JP",2006-01-01,-20.3338720494083,-24.9435718712138,-31.4270358015894,-32.2931350483845
"JP",2006-04-01,-18.5474665446146,-23.7122920500412,-28.9521489051595,-32.9009182735547
"JP",2006-07-01,-14.6975321088387,-23.9892316626816,-27.1626845847209,-32.798081953748
"JP",2006-10-01,-12.3186274762768,-25.6932912450592,-26.5823979500154,-35.7493492688455
"JP",2007-01-01,-14.1922288876907,-26.2008715124074,-26.0265237216273,-31.017667598096
"JP",2007-04-01,-13.7160785563625,-27.7422780645708,-26.5111704365802,-31.689241288321
"JP",2007-07-01,-10.4681920859196,-23.7724103054086,-26.344985334819,-33.0739825218232
"JP",2007-10-01,-7.16130235324317,-23.6826957296892,-26.9278827774859,-30.0514486640663
"JP",2008-01-01,-8.64900090339323,-20.7351109799276,-27.4104412392614,-27.9247981978439
"JP",2008-04-01,-8.0142149543869,-16.7034086211142,-24.8802912164126,-25.4666990787242
"JP",2008-07-01,-3.35370370842281,-13.1715588368146,-20.4707898503039,-26.6962889272005
"JP",2008-10-01,0.0375116075049545,-9.80506551439937,-17.1115822160763,-23.1992748266083
"JP",2009-01-01,2.27797230879644,-3.91649970897492,-12.1253564898624,-19.0085496613715
"JP",2009-04-01,5.81749254278251,0.437602510125083,-7.23597333979768,-15.4284016548793
"JP",2009-07-01,10.384751359113,4.7864975393559,-1.82592627304519,-10.5964455741232
