"Country","filter","1step","2steps","3steps","4steps","avg1-4steps"
"AR","HP",1.58657236827799,3.01622522852634,6.08679990603376,13.2086324167745,7.52696129647993
"AR","HP3k",1.5859218229533,3.01557103229086,6.08429939053651,13.2005672804931,7.52330295484209
"AR","HP400k",1.58769144935687,3.03055534715509,6.11866422133664,13.2847662109276,7.56756991264337
"AR","Hamilton",1.58589721004318,3.0852220974697,6.3206049630643,13.9354493008678,7.86147072521708
"AR","Linear",1.58733085326113,3.02853004458616,6.11091352817124,13.2593608208706,7.55612986817884
"AR","Quad",1.5886598987026,3.0284621816944,6.1268162387841,13.3300223880283,7.58377259905475
"AR","BN",1.61924653499697,3.16261028263929,6.50786732326468,14.4309315175351,8.11154338573219
"AR","UC",1.61004473853755,3.16871013810105,6.60993188152856,14.8623052846031,8.28646857351895
"AR","avgcomb",1.57853582561829,3.05421486275001,6.23922301394858,13.6864341490448,7.7454691256434
"AR","Bates-Granger",1.57808832930014,3.0523039209657,6.22796795926298,13.6363094507982,7.72511626302071
"AT","HP",1.02953784858811,1.03679674500476,0.999649475408401,0.999533657581796,1.0528153104347
"AT","HP3k",1.02961941446092,1.03843885297052,1.00434721717451,1.00093119602931,1.06212791975071
"AT","HP400k",1.03146842934667,1.02974292689135,1.02134096268784,1.01165508706803,1.09655656811555
"AT","Hamilton",1.05509677809006,1.04187016599805,1.02286065983993,1.02725165669342,1.13834756137979
"AT","Linear",1.02989926361247,1.02638598192847,1.01951392623915,1.00874060596267,1.08787269974117
"AT","Quad",1.0384689688763,1.04117002466211,1.00488585254128,1.01233434028612,1.09248025201558
"AT","BN",1.0272012901206,0.990126691946983,1.02667456356432,0.983665053366902,0.99664209081678
"AT","UC",0.970229314289292,0.997557584067884,1.0015512709009,1.009339907958,1.00237058059971
"AT","avgcomb",1.01693182102579,1.01914532076205,1.00506433158519,0.998686802852954,1.04419645673567
"AT","Bates-Granger",1.01349662729019,1.01666648184937,1.00398396891195,0.991072138507414,1.03713866876348
"BE","HP",1.00724584548418,1.0247543754878,1.0465022223226,1.06552006867847,1.0844072187321
"BE","HP3k",1.00959858242845,1.02165311750426,1.03812400223999,1.05705548097847,1.07232405033126
"BE","HP400k",1.00662957633475,0.997091585577949,0.992096985992488,1.01112400671986,0.996940041489372
"BE","Hamilton",1.02094674104404,1.00101761318771,1.00591216857964,0.997423141021023,1.0175684954273
"BE","Linear",1.00022767805673,0.992600847874386,0.984596787976558,1.00746508216256,0.98226264427045
"BE","Quad",1.0135613353374,1.00769070883129,1.01335922709479,1.03094039692046,1.03440784747517
"BE","BN",1.01086666833083,1.02767978675817,1.06389369102765,1.08838531046989,1.11654921532488
"BE","UC",1.01084838009122,1.00579970756853,1.00717710815573,1.01529704801692,1.02073347447559
"BE","avgcomb",1.00330405294901,0.999041691172666,1.00777430131868,1.02249343911374,1.01631371158403
"BE","Bates-Granger",1.00197321683637,0.996807128860485,1.00402185640674,1.01772716703011,1.01042322738585
"CH","HP",1.00740734816283,1.00642200515177,1.00385628520793,1.00037114672099,1.01326665348278
"CH","HP3k",1.01004005065492,1.01039886382969,1.00774018585476,1.00372545648478,1.02330708297013
"CH","HP400k",1.00574309933041,1.00357695164861,0.998424790565972,1.0038535895129,1.00295970162597
"CH","Hamilton",1.02318458753937,1.00434747822534,0.995563204000683,0.987920722203983,1.00518991217004
"CH","Linear",1.00211162869585,1.00772372342147,0.998390259755108,1.00700328751085,1.00597574486234
"CH","Quad",1.00588679168375,1.00557285228576,1.00464300126389,1.00161887542839,1.01145035497508
"CH","BN",1.00603373097655,1.00950985315798,0.997733022388067,0.999322260979691,1.00629599125098
"CH","UC",1.0082503089257,1.02211514185427,1.01828392302732,1.01906548249348,1.0479310948182
"CH","avgcomb",0.999761757136508,0.997971427540974,0.993225499054765,0.994359857509194,0.988778830812214
"CH","Bates-Granger",0.998660809387941,0.995101644854804,0.991043357398185,0.99244537792546,0.98646037187398
"CL","HP",1.01732657837436,1.03444536338667,1.05626909617926,1.0692203273692,1.09985993896734
"CL","HP3k",1.01842343032761,1.03440874135254,1.05813198562972,1.07051408214058,1.10244136743403
"CL","HP400k",1.02166091363979,1.03919892894494,1.04604702127219,1.04657537755704,1.08629555431741
"CL","Hamilton",1.02580661789489,1.03606681172653,1.02392030960429,1.00657330749313,1.05608832539671
"CL","Linear",1.02066505002292,1.03838664206728,1.04493048856835,1.04480672206151,1.08380675590977
"CL","Quad",1.02319867710295,1.02953797539663,1.03722945097061,1.04003749400405,1.07270479616909
"CL","BN",1.00850838537777,1.00909176355455,1.00302716077357,1.00284145584148,1.01357755582971
"CL","UC",1.00555799908682,0.998676595379871,1.00092409355746,1.00412017703082,1.00999614631006
"CL","avgcomb",1.00413351831416,1.00821180966802,1.01285923346234,1.01531455998902,1.02588198389925
"CL","Bates-Granger",1.00151453125276,1.00376026144296,1.00716366140724,1.00747354685524,1.02025245256034
"DE","HP",1.01024779629821,1.01154556776635,1.02513596402288,1.04036395891653,1.03949175398296
"DE","HP3k",1.00929913719978,1.01174131983044,1.02421594445781,1.03968555653862,1.03751053724852
"DE","HP400k",0.996693177878008,0.991168465937825,1.00942910312312,1.02298082343205,1.0058130228012
"DE","Hamilton",0.993064834682604,0.984359443792138,1.01578139125153,1.02191780921308,1.00547384048052
"DE","Linear",1.00655122479599,1.00580161247848,1.02595196324021,1.03828912759856,1.03400911455143
"DE","Quad",0.984627407813352,0.988265388364309,1.00417118832768,1.02673730709548,0.994521196119895
