"date","c.hp1","c.hp3k1","c.hp25k1","c.hp125k1","c.hp221k1","c.hp400k1","c.hamilton13t1","c.hamilton20t1","c.hamilton24t1","c.hamilton28t1","c.linear2","c.quad2","c.poly3","c.poly4","c.poly5","c.poly6","c.bn2","c.bn3","c.bn4","c.bn5","c.bn6","c.bn7","c.bn8","c.stm1","c.ma1"
1981-10-01,-0.577068633391107,-0.790814051567096,-3.79760713636642,-6.43029134587866,-6.96217561121765,-7.31634079810988,-2.24766480462245,-3.34609478777988,-1.14976511272563,0.472805701268669,-5.2851401374931,-0.00432373901439576,2.13687029412506,-1.15671009098428,-4.01767668036175,-2.28891902758939,-3.41737565313059,2.78095091523234,0.892174687095116,1.49409644784476,0.414879813622879,-0.779470761666941,1.83898568520776,-6.64228843403359,-1.63125000000001
1982-01-01,-1.49790630305512,-1.71048712423405,-4.72866943145857,-7.51095891273073,-8.08902766712859,-8.47703254804011,-3.81072078370649,-3.43021153327169,-2.02291969206468,-0.619912395507924,-4.57260960439174,-0.87649769585255,1.22732261018551,-1.98410628350148,-4.26311811683739,-1.89731293539592,-3.74569912336139,-4.45243756763528,2.99725079401147,1.50515963533783,-0.777239118270715,0.844014412906524,0.496083217709675,-7.71287289997352,-2.84374999999999
1982-04-01,-2.04069267992718,-2.27651243534348,-5.35364911954819,-8.30657845760409,-8.93697683863077,-9.36353793308676,-4.3402360738712,-4.41701589982473,-2.27677147582719,-1.38816990211242,-4.45437307987709,-1.42999084249082,0.697990897990877,-2.36753909440479,-4.06247738305733,-1.17128713335927,-3.43552657360197,-4.83888043168939,-5.71618460949258,3.44558160546144,-0.634052974926158,0.535554894260329,2.16459352151396,-8.49279615914342,-3.81874999999999
1982-07-01,-3.3883364499208,-3.6973681498966,-6.9522998411201,-10.130865242063,-10.8265665632191,-11.3010761783731,-6.85945091085073,-7.01541444632149,-3.26701214486948,-3.0019100621961,-4.65565934065933,-2.91953452797203,-0.61357047802943,-3.37248599595092,-4.38239565145319,-0.96645094859818,-4.23754549894019,-8.18134462364102,-13.4937674222514,-4.98688595787735,-0.0474753183231084,3.46182040711458,6.22168719588207,-10.2918299933675,-5.85624999999999
1982-10-01,-4.15012914376828,-4.56177973270134,-8.07109632898474,-11.5154863937048,-12.2873529424626,-12.8180222886634,-9.171810026746,-8.43244758576998,-4.11117884895936,-3.79411334490329,-5.15723776223776,-3.91253731343285,-1.33945701357467,-3.72373933277467,-4.06192626551238,-0.239031865029389,-8.91904224098932,-7.50418941342507,-13.0165036595411,-5.68957924920625,-18.5256031225483,5.92084848428095,9.6320449896017,-11.6428752366616,-7.46249999999999
1983-01-01,-4.02681692983384,-4.53929070915295,-8.30766365105997,-12.0279655423013,-12.8815002523651,-13.4731371120698,-9.38509806368697,-9.11439328595456,-4.34547061770841,-3.40516556824835,-4.83282886267958,-4.0330154042621,-1.19995268947059,-3.25964949722436,-3.0642411332593,0.940248738460539,-7.11538483797417,-11.4164051221691,-9.59463392941275,-4.82240640053973,-12.1562290565137,-10.6534343447722,7.16732902708756,-12.1170972888916,-8.20624999999998
1983-04-01,-2.39922617753454,-2.95870939411149,-6.86098684831782,-10.8071707943301,-11.73597157804,-12.3854267010761,-7.32994160444896,-8.17350037404634,-4.86588387901739,-2.13292969683481,-4.64256125788172,-2.51752872466314,0.405397564606631,-1.56063859586116,-1.14308336563641,2.68097711774374,-3.7993554101951,-5.5650121240436,-8.10925539027401,-2.1948127309345,-3.58870350163996,-2.84053222861172,-2.49070970058867,-10.8618090050057,-7.18124999999999
1983-07-01,-1.60403998058578,-2.18231099699271,-6.15274432902889,-10.2983663467964,-11.3003138754894,-12.0073280740047,-8.27157221972948,-7.97832476675067,-7.54792353697283,-2.58907545999453,-4.60730427148147,-1.76373766898064,1.1684063460044,-0.807150318792537,-0.302289306028598,3.21314060430825,1.10627190542186,-4.4351823870448,-8.08573878291067,-5.65009996473029,-5.10660617846286,-3.54579971979079,-5.36348427007891,-10.3194226082429,-6.82499999999997
1983-10-01,0.426575621102913,-0.100746550224301,-3.96409097978668,-8.22805898695113,-9.28932229907181,-10.0455679434754,-7.73896105407208,-6.44985336598661,-5.04847222269399,-2.04428537324095,-4.79987821215444,0.423917417548779,3.15195034943964,0.923109166547164,1.24981657243806,4.22050481858594,-1.02412738360531,0.822365426222709,-3.73859744471958,-4.95592984569088,-3.87206395077284,-1.84373532790907,-0.126455763284159,-8.22524811261724,-4.88124999999998
1984-01-01,1.4807925683519,1.04201348569454,-2.61021219201754,-6.93862988055344,-8.0501061501422,-8.85035635538132,-7.7611644629848,-5.94154583922784,-2.99117806230277,-4.13026009767447,-4.14284839471613,1.75518108651913,4.1654277261744,1.58057784569945,1.64933057508324,4.06428046334884,3.53989737825927,-0.996196124982356,1.05615227461987,-3.32894657876776,-5.94735274383607,-3.79056809921946,-2.419867663976,-6.91800036900588,-3.74374999999999
