"date","c.hp1","c.hp3k1","c.hp25k1","c.hp125k1","c.hp221k1","c.hp400k1","c.hamilton13t1","c.hamilton20t1","c.hamilton24t1","c.hamilton28t1","c.linear2","c.quad2","c.poly3","c.poly4","c.poly5","c.poly6","c.bn2","c.bn3","c.bn4","c.bn5","c.bn6","c.bn7","c.bn8","c.stm1","c.ma1"
1985-10-01,-8.60487267588434,-9.22335403474625,-7.08293780767292,-3.93866933812004,-3.27362698116306,-2.82762028485652,-17.302483330127,-9.7037472802802,-0.847710231282463,4.61983663383796,-2.27329455314646,-12.0824406335776,-12.6089202299111,-0.336449816268754,-0.0812707629931708,-1.37531311074656,-1.00905434897077,0.067626062029941,-2.25585319401502,0.847095272866896,1.01151487516544,2.05697492130371,1.11022801389226,-3.88659137655415,0.637499999999989
1986-01-01,-5.67302631097294,-6.53012556311319,-5.18102803756491,-2.24747751745886,-1.59736311680768,-1.15663370357018,-15.8027349276894,-3.08375112746555,2.2821007497021,7.47005978824077,-0.602150537634401,-9.90444988479263,-9.33189767222024,3.28337163508536,2.97663781812801,1.24674259976499,-1.34805196382729,-0.744016824961262,-0.196348284213721,-1.23710136884966,1.29026149863187,2.16058203038679,1.9941407577849,-2.18440703247737,2.39374999999998
1986-04-01,-6.40014591016615,-7.50109352267577,-7.02474783567379,-4.37497784550257,-3.75457250512289,-3.32882727231728,-11.2605560854023,-9.77201770728266,4.07205802098349,5.92382859477547,-2.78630952380954,-11.4449404761905,-9.69323107448108,3.28267604079181,2.47198584814345,0.451850781994068,0.653006415573849,-1.15798127205715,-1.53632044724077,0.14777054054708,0.0364717184289973,2.06479703728912,1.33904375041388,-4.29395745085989,0.15625
1986-07-01,-6.59854168623588,-7.93081674510128,-8.36210613406703,-6.0533640180991,-5.47551486043886,-5.07339988598389,-15.3693319513474,-13.8664992546781,-6.66155940446117,3.64216979876443,-4.55408653846155,-12.4741368006993,-9.52373904080997,3.75855213021177,2.41916726689058,0.151771786362616,-1.01323689744109,0.815309456320226,-2.05816256583443,-0.898747220261794,1.13426386373575,1.60998397944316,1.40248411827647,-5.94797125208422,-1.45624999999998
1986-10-01,-10.2870912409223,-11.9534706200176,-13.6172284409898,-11.8431345392727,-11.3482130217648,-10.9970621033702,-19.6077366872584,-15.5883437689128,-15.0087907211375,-4.3578713271873,-10.5367832167832,-17.3158772570713,-12.756515530124,1.22718410344848,-0.190239559271959,-2.19925641115074,-1.62686144114911,-0.394800719455953,-0.546797862884521,-1.45579125886657,0.794189607555123,2.69729905437009,-0.329243546432448,-11.6894413763082,-6.96250000000001
1987-01-01,-11.886710571709,-13.9212897232676,-16.9803898453248,-15.873937464006,-15.4930393262286,-15.2145812101553,-25.6054312144305,-16.9293072544683,-12.8259225961559,-12.5457242811942,-14.8431931252827,-20.2317982281108,-13.8842460563956,0.88573523917259,-0.54913272854202,-2.26367953272361,-4.49762542040658,-0.877776256245942,-3.61824461459721,0.484805865277205,0.636134948354811,2.80961840272985,1.03462796619932,-15.6535018241421,-10.7875
1987-04-01,-9.14242830332955,-11.4336907035163,-15.6842767231667,-15.2156759830643,-14.9491045832877,-14.7446760243462,-20.7167983285461,-16.8178844962047,-14.9843785038261,-12.6655554894774,-14.4660667251975,-18.5721189449173,-10.7300721456655,4.3599196123414,2.37852514560583,0.4048139679511,-2.62475301566573,-3.19332982589386,-2.6020735404475,-2.80249207836855,1.95640267174769,2.53654928881629,1.68449894458135,-14.931185288406,-9.75624999999999
1987-07-01,-7.38372429668382,-9.85012524377007,-15.1471004497988,-15.309008297719,-15.1616829275566,-15.035877995879,-17.3490454543753,-19.1533396434192,-16.2420470441629,-10.1077698055286,-14.8584398976982,-17.7272013153087,-8.57920772718154,6.53526890241706,3.7319622284741,1.2893384734322,-0.0976420383770709,-2.41367167570613,-5.8829706854598,-2.65820609798597,-0.251932681525567,3.10083712054536,1.13224994686712,-14.9599121092978,-9.53749999999999
1987-10-01,-9.49013240730712,-12.1780794926632,-18.6866331042655,-19.6149276035989,-19.6219533627999,-19.6003806099227,-21.9218022859456,-22.0115136155692,-17.1380461350964,-16.1647246441033,-19.5614492753623,-20.9314285714286,-10.2566568493084,5.08710099256116,1.75489876626011,-0.763929224463723,-1.06183134290756,-0.12225804681428,-6.75522628307952,-7.48089881901098,-0.892699266378465,1.37349428608516,0.649724236547836,-19.1784741342339,-13.2
1988-01-01,-10.4023443333688,-13.3206061874337,-21.1119297006364,-22.9039759918168,-23.0944180535412,-23.199184275499,-24.4696704526259,-20.247986993094,-18.5501127590924,-19.8578120537097,-23.332676056338,-23.0252481556003,-10.7274949238812,4.88421785184747,1.10223985204561,-1.37313185106512,-4.03546161863387,-1.15666600521673,-3.66410276109827,-7.655663655632,-4.02790592599076,2.26000397938617,-2.70965901328825,-22.3625805169961,-15.94375
1988-04-01,-5.22303390542868,-8.17907172677852,-16.8085730970159,-19.3167788624467,-19.6685251843562,-19.886501267838,-16.8914802615899,-17.4947871353139,-17.0424931587914,-14.5787130395986,-20.1784037558685,-18.5015274294167,-5.11837312906201,10.066763570439,5.12633121174309,2.01050880952889,-2.28514089282384,-3.24828713897153,-2.85506854128446,-3.25225992848391,-3.03857746011485,0.913180270533538,1.72484408945098,-18.6929501079342,-11.8125
