"date","c.hp1","c.hp3k1","c.hp25k1","c.hp125k1","c.hp221k1","c.hp400k1","c.hamilton13t1","c.hamilton20t1","c.hamilton24t1","c.hamilton28t1","c.linear2","c.quad2","c.poly3","c.poly4","c.poly5","c.poly6","c.bn2","c.bn3","c.bn4","c.bn5","c.bn6","c.bn7","c.bn8","c.stm1","c.ma1"
1975-10-01,-1.10115537634576,-1.95790905158283,-4.92838547677187,-6.69574651362576,-7.03742180770261,-7.26336680074458,-4.54898673775084,-3.26659358894673,-3.80304906924221,-3.54541880598666,-7.49190904283448,-2.51318778172295,-0.290719510966738,3.12096045370106,2.76196643344325,1.99767104102396,1.55232282720727,0.199469192916736,-1.11960563625554,-3.66645429385909,-1.95306638623319,-0.87232743320514,-0.00497744476664806,-7.21699568356095,-3.1125
1976-01-01,-1.06765460857333,-1.9203152322987,-5.04600902930493,-6.99402771054362,-7.38032602721393,-7.63770632069598,-5.0290352269781,-4.24584144293881,-3.88554596823863,-3.57062641251223,-7.90937019969279,-2.54610695084486,-0.186209825121111,2.99240178504292,2.17426663771148,1.07298009024368,0.976823915437303,1.55750325851061,0.207279879779125,-1.4399636650497,-2.57552022779336,-1.63512340880028,-1.31757202308686,-7.49179114890788,-3.33125
1976-04-01,-3.73511540758722,-4.66558908174967,-8.15888851574233,-10.3937819614151,-10.8469489752188,-11.1510636755422,-8.03486844477219,-7.07399751003524,-6.4424042214851,-7.08033559581465,-11.4862103174603,-5.48692765567765,-2.68810772560772,0.614383160372,-0.230949102843397,-1.17699877829311,5.75333542570448,2.86748856889771,0.190507638036714,-7.6462414958213,-5.40495404258664,-14.7931255337403,-74.4578368829557,-10.8542757940983,-6.64375
1976-07-01,-3.86544431683151,-4.87335459378485,-8.74710723159778,-11.2926902516431,-11.8206410886583,-12.1775979472064,-9.50658761492143,-7.92539593959761,-7.70443271377081,-7.80527521854572,-12.5856730769231,-5.905625,-2.65689320008349,0.75441510311461,-0.137679081187144,-0.963554816871721,-9.04081343799813,0.253604046964004,0.989211930185488,-1.21145185418817,-3.25985413739994,-1.12578412414766,-1.16636153623893,-11.7098451725465,-7.39375000000001
1976-10-01,-3.56345338730557,-4.63372321931955,-8.86298495628779,-11.7265096112447,-12.3343824922431,-12.7485958664263,-8.44593877097059,-7.6869804862104,-7.2169770021621,-6.62113732909185,-13.2372027972028,-5.86841039557459,-2.20667939610873,1.24526040055299,0.233947654818905,-0.553339198652395,-3.8431009755806,-7.81727286686886,-0.663903429043332,-0.0931838693949688,-1.54948190971862,-1.97840958381888,-1.34768541533755,-12.0961086956369,-7.61875000000001
1977-01-01,-3.5621524102461,-4.68929513453742,-9.27091073321969,-12.468938654738,-13.1639620934244,-13.6413950483401,-10.7295579222828,-8.06991180188028,-8.57558302706965,-8.62578919851373,-14.2204432383537,-6.13112379280071,-2.05966898823718,1.4105182642935,0.266137568801298,-0.492660123838178,-3.18444815761974,-4.72944713053143,-11.512776166288,-3.67801812273373,-1.66385571863902,1.88506577409178,-2.77671173644942,-12.785613866629,-8.08750000000001
1977-04-01,-3.72132084489145,-4.90517019945776,-9.84797415971073,-13.4025410465547,-14.1934074205344,-14.7411948718586,-10.9675496307855,-8.53513418344477,-9.52513125947219,-9.89036226876848,-15.4225197541703,-6.5673359544986,-2.07180211474595,1.41662855708131,0.151183556659277,-0.561775812529547,-4.81450662468521,-4.2042633763652,-7.10222339669796,-19.4456822865834,-5.7766666458253,-0.45088124951566,-0.384383294947516,-13.660140913547,-8.77499999999999
1977-07-01,-2.96594103633001,-4.17614260620044,-9.4111197668672,-13.3077755191416,-14.1961089935277,-14.8167487830287,-8.56984926653939,-8.34453100316098,-8.95018807257526,-10.2174511637522,-15.6063938618926,-6.01597552064305,-1.18058684588348,2.21316505169122,0.718238605158732,-0.0534557137968221,-5.3278628642508,-4.80243765642702,-4.40281363441973,-4.82279327689023,-17.6541941378779,-3.04767225663057,-1.57596701583553,-13.5054647591059,-8.51249999999999
1977-10-01,-1.1765390143979,-2.34840284661855,-7.71350569912809,-11.8908628860256,-12.8684237571776,-13.5577006637599,-5.81872232773588,-6.97098408217106,-6.70324369730815,-8.51679240611395,-14.4527950310559,-4.24980316682705,0.730128111665167,3.80141545454316,1.86262399016233,0.84009964934782,-2.31662091941846,-4.59983723014369,-3.99164926634537,-2.50218307005721,-2.9250476571453,-9.24427096241303,-0.871811794824696,-12.0352914571757,-6.9875
1978-01-01,-3.47709892852139,-4.68174965165458,-10.3500170847759,-14.9004947958364,-15.991001302863,-16.7668584960776,-8.58499892456751,-9.31689456322019,-9.07806359011693,-11.3399456694758,-17.7950100603622,-6.7813782696177,-1.42405078875076,1.6129125052673,-0.407336142735787,-1.26600469090198,-0.169998610143035,-6.92220195116846,-9.95765711748384,-7.58902640571078,-11.0661474064758,-211.250673151193,-13.9177190351711,-14.9741556079361,-9.98749999999998
1978-04-01,-4.27921130254512,-5.54014323337701,-11.5715997463238,-16.5384663962688,-17.7563222250954,-18.6306574826749,-11.9271035385094,-12.3688593050733,-9.73538061068258,-11.2148910449792,-19.812089201878,-7.89408000514501,-2.0796004957302,1.00445063817439,-1.00168570893245,-1.61317771095219,-13.2458872209237,-3.90729039718082,-9.6134699404549,-8.05107385406667,-10.3710101507827,-90.467134638036,-22.7857687502031,-16.5317551959412,-11.6875
1978-07-01,-2.8261930218161,-4.09235058547487,-10.3600240126738,-15.697818553033,-17.0386556907019,-18.0104496025577,-12.4030561545837,-10.9257367628268,-8.80932697464541,-8.9697678773767,-19.3479071537291,-6.60576946809822,-0.484857048829625,2.45371326625833,0.253368765304501,-0.345473876905089,-5.55359456950556,-16.3381844279615,-5.1227505134388,-7.2665734448226,-6.39712839813813,-31.4615428788014,-18.6805992919584,-15.6163671265505,-10.95
1978-10-01,-0.16241449923092,-1.34196800654476,-7.60709120916459,-13.2112843713497,-14.6570948299553,-15.7156278693455,-13.2649242479916,-12.39576309954,-6.46224618710731,-6.23205584774645,-17.1981118104406,-3.81911884487228,2.33140123540988,4.80665385317151,2.09770518069023,1.20673255299258,-1.00393860449059,-5.37078864356818,-12.2604287180332,-2.20637517845789,-6.28721486797112,-11.160158684505,-6.66086803051332,-13.0714437443391,-8.57499999999999
1979-01-01,-0.747351690983571,-1.85624586970695,-8.13972460573537,-14.0235098262288,-15.581515677969,-16.7339034388981,-15.353083210474,-13.6454915620625,-6.46124443238864,-7.92553024552534,-18.3758918918919,-4.31607681365577,1.90730634941159,4.00381511802566,0.943116138412698,-0.0231527568530154,2.19095141358216,-2.61045727946269,-11.6800081315836,-9.78622602782059,-5.11507962926704,-23.9636990892614,-2.12456584124989,-13.8206484083644,-9.4875
1979-04-01,-1.03838183943947,-2.08502037271631,-8.3882226420142,-14.5544264499838,-16.229632813424,-17.4815911038038,-15.8888170665503,-11.9413644088622,-10.1504852110032,-7.70667912435744,-19.2961052631579,-4.53108133971291,1.77978947368419,3.54084698778906,0.222833970826251,-0.695693681894994,-2.94660657332545,1.13667681901151,-5.64272100704568,-6.24661200418208,-11.1121749222405,-16.9900999673352,-9.9439124079157,-14.2860559269904,-10.06875
1979-07-01,-0.608278240757109,-1.57862681670682,-7.84524269736788,-14.2670948272367,-16.0576572841763,-17.4100764736447,-2.76836391652333,-10.5538837497123,-9.70810608933343,-6.61733148139206,-19.4035201640465,-3.96256638098743,2.37988014650239,3.76313504949416,0.179857743115598,-0.688773044866991,-2.66906611438114,-6.331368308945,-1.0791825372252,-3.1152500770431,-8.70555962684238,-35.2631760012275,-9.7421742269898,-13.936554460797,-9.75
1979-10-01,1.90766028931822,1.09585344650581,-4.90060477367895,-11.4608903346632,-13.3433542836517,-14.781291743606,-5.85434503867596,-8.49498784424591,-11.1411398875542,-4.77880858921909,-16.9365634365634,-1.01004059231907,5.1036621606242,5.83445738509029,1.73069998849572,0.664253726602688,-1.62750107948578,-2.31286065157261,-7.17921214142785,-1.05586171525143,-3.02202343818281,-9.05627175548077,-13.4162502513522,-11.0891565107508,-6.82499999999999
1980-01-01,0.758539255700647,0.0654653606151641,-5.72493215346926,-12.4446317971534,-14.4268097596992,-15.9580445081161,-2.82089868915605,-12.1416830750115,-13.1745937138671,-5.13511595583951,-18.2920155793574,-1.81948636806231,4.14954470049408,4.38034140756044,-0.00728600233068022,-0.983734146800245,2.0315810235945,-3.1816417979092,-9.03554972415859,-3.13482895647086,-2.50451235829992,-7.41632062061812,-10.6987268201193,-12.0257088827471,-7.69374999999999
1980-04-01,1.66164671814524,1.1130016396757,-4.37212265411497,-11.191562719454,-13.2620168169709,-14.8801730755125,-5.35954245065517,-12.2126583989197,-10.7228673058858,-11.4544285379176,-17.3886075949367,-0.452801218940465,5.26371136496175,4.90984077299218,0.192659981630179,-0.732840430485723,-2.69288622823392,2.12550052071299,-3.46724425167723,-5.67833234330023,-2.90523535344419,-3.71268496124178,-4.77707762535713,-10.7358217448259,-6.5125
1980-07-01,0.347878306705979,-0.105112981008602,-5.37103040582085,-12.3179267724036,-14.4855764885341,-16.1993799583527,-6.25676945921854,-16.6227541691635,-11.1416327105179,-14.068822876252,-18.9014814814815,-1.43274841915084,4.12910378641939,3.35389294304591,-1.46434358508503,-2.09315830544549,-0.558517528526946,-4.4247336247797,-2.80350327157564,0.568427185334691,-8.76032160177714,-7.2536570419954,-4.37782770990657,-11.8182874981905,-7.775
1980-10-01,4.00653650681436,3.76358492130568,-0.959584310940301,-7.85926805177687,-10.0835352113553,-11.8644465932875,-4.29062584005178,-12.872805843324,-7.56972682875103,-9.15441814217691,-14.7213489912677,3.00281233334422,8.0495800727753,6.46766138895345,1.15832188280253,0.407018870098447,-1.17098772469512,-0.860255299308372,-0.795071692897816,-5.44687894228034,1.81151974487775,-7.65360983095064,-4.30112643547171,-7.3502041567246,-3.425
1981-01-01,3.6440952131415,3.59268980352142,-0.586201013034447,-7.41303519343113,-9.6880359752722,-11.5331735596581,-8.03856898226944,-12.2044603127987,-9.22224498355729,-8.85050669995853,-14.5455186600059,3.41144158515597,7.9397721239539,5.61891907156831,-0.0346971328618579,-0.721111693110288,3.49932425956695,-0.788646595376257,-0.905707323192894,-0.395474773785377,-4.86889282538896,1.19684480999822,-7.17464450901396,-6.89802655954645,-3.13750000000001
1981-04-01,3.11299891490627,3.22674095220221,-0.427769780095296,-7.16488976519283,-9.48640287604151,-11.3940381459292,1.90480274752095,-0.960844690713643,-10.4123360874301,-9.22848474254762,-14.5643717728055,3.61554115622152,7.63896343631317,4.66125514640008,-1.18954411921003,-1.64821738202615,-0.75250985174513,3.42300172856411,-2.60220020182849,0.657386622462883,-0.884518429344589,-4.69319392283437,-0.262073265694183,-6.64586945066268,-3.11875000000001
1981-07-01,2.37899958463785,2.62316760113612,-0.551711283651208,-7.19376496307334,-9.56004550333712,-11.5302698138424,-0.702213061812522,-6.16101239358152,-12.8023574972657,-9.90764478280448,-14.8642296918767,3.54569962868867,7.09885079934138,3.56431164869533,-2.33258461176847,-2.41865439911054,-1.07557886220768,-0.82194877910025,6.10362516282789,-2.16085106197672,0.573603644876967,-1.65408309856762,-4.57412756252513,-6.67054747699717,-3.38750000000001
1981-10-01,4.05741780202875,4.47635204886561,1.93214812446466,-4.51195772319485,-6.89616185012554,-8.9094291868651,3.98284957172264,-1.45437348341998,-10.8261391239027,-8.29940752258339,-12.3802462380301,6.10636633803481,9.01227695131417,4.7649535668636,-1.32119948996401,-1.21190574015206,-0.221135190321087,-0.980164629436132,-0.0778309215772751,4.21111496259641,-2.05924766490637,1.26020221218981,-1.36710965806078,-4.00518390168602,-0.837500000000013
1982-01-01,1.55113796163199,2.05078043075232,-0.0596535749740852,-6.37139516393806,-8.78850015667302,-10.8575520043152,-7.15774317977406,-7.4474509786843,-12.5568760115988,-12.3052227521115,-14.4916599839615,4.18811693518992,6.6340223687002,1.95925915762692,-3.96244260681517,-3.30155431744001,0.429985715999687,-0.125799314738316,-6.29636084729887,2.15236643366871,3.43317890602825,-2.92553251422967,-0.696233115580116,-5.86581268481211,-3.06875000000001
1982-04-01,0.712001360775929,1.25228654346749,-0.498752365859701,-6.68754323117392,-9.1384847222846,-11.2652211204792,-5.14798533550699,-7.89312358312056,-3.35547791603059,-13.8345291740472,-15.0716562173459,3.82518755943784,5.86487149683585,0.866921171299438,-4.77223627029076,-3.49400547029099,-2.95031846743396,0.393060646398672,-5.93210693736777,-2.53471965542771,2.08648675966336,2.88647945725425,-4.5567216830436,-6.1805917886953,-3.90000000000001
1982-07-01,0.824687306403753,1.39793977744933,0.00543082539496709,-6.03526634030696,-8.51189503732503,-10.6909585747371,-7.48645411083825,-9.59598629172605,-6.56491003129492,-13.7048420839401,-14.6665730337079,4.41518556350018,6.02558340535867,0.709801568729269,-4.6494942879844,-2.8234357204967,-1.15807854991404,-3.21803082697923,-2.58023000363638,-3.17011771114753,-2.30759399897013,1.29145501529807,2.33245871985543,-5.53209294394968,-3.7375
1982-10-01,2.81500430678415,3.47730010452597,2.60048561918066,-3.18819110804894,-5.66131756117635,-7.87025240367803,0.837864277826696,-10.823527577505,-4.49943537531617,-10.6104096747145,-11.981797752809,7.12923241552455,8.12717136307756,2.31068379435618,-2.97692851552396,-0.878052466673587,0.445820903334766,-1.04642622152139,-5.6168676676923,-1.70839722687452,-3.114520026001,-2.88394084252587,1.15184464099867,-2.71091067967787,-1.21875
1983-01-01,1.38528533793777,2.08105236464008,1.59759442558484,-3.97058395902887,-6.44539912702665,-8.68888871834072,-9.06801765987898,-2.11086303698709,-8.94891409712291,-11.2021367163742,-12.9497191697192,6.2419143175665,6.72710965207459,0.575924753299397,-4.44441911897051,-1.8967376929893,0.988412966504152,0.516640395328899,-3.47175964055669,-3.01179595831554,-1.74114636337863,-4.02582473379329,-3.75264185389148,-3.51166750049042,-2.425
1983-04-01,0.451173380146457,1.14108798460597,0.959959803322199,-4.40720598077245,-6.88582520465722,-9.16609852249683,-2.42211735552851,-4.37513929328379,-9.59860135886392,-6.36819620092989,-13.5856665074056,5.71729420649478,5.75608697947632,-0.616664848997964,-5.25257771530311,-2.18479587368135,-1.46589000954569,0.979141893006612,-1.83418844516848,-1.50903548315831,-3.020797997924,-2.80064820503581,-5.5986987739872,-3.9622236355729,-3.3625
1983-07-01,-0.225737274499892,0.428394582632798,0.473804002250951,-4.70744008732504,-7.19082925154209,-9.50915971325458,-11.705111436054,-2.90782110391975,-12.1530674001592,-13.7116914642312,-14.0955119214586,5.34115812718212,4.98475850035101,-1.52340027979827,-5.69979891645789,-2.09504857460425,-1.26372289594906,-1.66309175843833,-1.70288818417826,-0.178524269580108,-1.70483108296283,-4.9874602241196,-4.297658532616,-4.27326607768474,-4.1875
1983-10-01,2.11615421329524,2.80602725035816,3.25344052399475,-1.63423484435502,-4.09063081635265,-6.42128174146055,3.22960546098781,-10.544928534259,-12.9422785734244,-12.6894343319232,-11.1329215282544,8.27590217823212,7.33090133535624,0.478027935439471,-3.49632902234141,0.312653894233335,-0.124626588186073,-1.06906985940402,-3.04943713188573,-1.58267742190789,-0.305920876100602,-1.79731932555551,-4.92205648227453,-1.23465823364992,-1.45625
1984-01-01,1.78256439521541,2.49321212924617,3.30515637628149,-1.28365352467536,-3.70759184851942,-6.04593317179132,-10.8384989435065,-9.33341630632544,-3.88412174727737,-11.814106077899,-10.8788353863382,8.49006858902577,6.97135149097792,-0.17211166831872,-3.88647498874399,0.161120872206759,1.42230544664305,-0.0602195406269211,-1.8938461011226,-1.9779598380334,-1.46683895399295,-0.223363406788519,-1.84216603105428,-0.919520847616212,-1.54375
1984-04-01,2.11558762263109,2.85422863670382,4.04648106071249,-0.213026025141197,-2.59209875035568,-4.92752852641287,-6.68346701122115,-10.7268471347685,-4.55624397734302,-10.4257623778151,-9.86605263157895,9.41237249050462,7.28333152468799,-0.16147171466617,-3.6352113472529,0.599756558130196,-0.0319836621697681,1.43450695714767,2.23265657075904,-2.33894465472109,-1.85062271517923,-1.03227107695923,0.570944291034028,0.109176228353206,-0.856250000000003
1984-07-01,2.6543089551709,3.43542334043979,5.04216658991733,1.15152736118925,-1.16742544375698,-3.48663709637832,-9.8022098766867,-2.36113441603886,-2.27819795771246,-13.7026197476841,-8.50910652920962,10.6133008100147,7.81984629059372,0.0434970470538474,-3.2286191174346,1.12720440744609,0.5654289719145,0.00472483321919467,8.79968241949314,-0.849341254275596,-2.22981848350607,-1.29426152130251,0.30013032350019,1.42338132465919,0.0249999999999915
