"date","c.hp_r15","c.hp3k_r15","c.hp25k_r15","c.hp125k_r15","c.hp221k_r15","c.hp400k_r15","c.hamilton13_r15","c.hamilton20_r15","c.hamilton24_r15","c.hamilton28_r15","c.linear_r15","c.quad_r15","c.poly3_r15","c.poly4_r15","c.poly5_r15","c.poly6_r15","c.bn2_r15","c.bn3_r15","c.bn4_r15","c.bn5_r15","c.bn6_r15","c.bn7_r15","c.bn8_r15","c.stm_r15"
1966-04-01,0.905977470901654,0.87668523407141,0.234539290822497,-0.374816257553817,-0.497246979722476,-0.578444066993654,-0.368963477738706,0.0351617993118154,0.411530658639354,0.216805302504735,-0.681475409836064,1.26134584875727,1.37767906457489,0.37689806245961,0.464644978236983,-0.323388139160944,-0.0405557133749251,0.256687691750769,-0.172989972680706,-0.0165840699344056,-0.580751370127018,-0.611547774104257,0.0713360619128867,-0.304315166805395
1966-07-01,0.0652195278097416,0.0516980900407837,-0.556697598815202,-1.17525347967804,-1.30067692879462,-1.38398277396131,-1.16805529482879,-0.693927101372175,-0.227832711186885,-0.6044995576414,-1.48327868852459,0.530087255420412,0.439266701921383,-0.452010069628059,-0.324523095228418,-1.02314011884885,0.439670350527617,-0.399766212129683,0.198348158343637,0.186880764763744,-0.0311575943718772,-0.551952132722779,-0.805458519848213,-1.19229605409379
1966-10-01,0.110989847208568,0.112233751651047,-0.453181775241923,-1.06658245127194,-1.19193843312032,-1.27530412536501,-0.803479149643138,-0.854085932562651,-0.296092201640096,-0.55078859034883,-1.37409836065574,0.667281861448966,0.392691697514547,-0.402288802221047,-0.238230992962613,-0.878361325238203,0.0421682435971534,0.441018121609043,-0.420274185334591,-0.0689835678863863,0.242486914902714,0.0485473396878653,-0.486750275633336,-1.09302791308022
1967-01-01,0.0651415924880752,0.0778769155171801,-0.44702325015696,-1.05303133664768,-1.17778508927423,-1.26084725228967,-1.4021106349602,-1.4192873387923,-0.736312611291623,-0.394925449619528,-1.36027322404372,0.704846641988368,0.243553675304074,-0.409885642517185,-0.25347750477971,-0.786356272627383,0.0528704617451879,-0.604792456051851,0.335839007372837,0.340080244840732,-0.0674787400730961,0.164747975565189,0.00846645114226541,-1.06713863877401
1967-04-01,-0.372609341277695,-0.364042444951387,-0.887399379782025,-1.50510602926335,-1.63280452895808,-1.7178868661782,-1.50432656772321,-1.99310030212366,-1.63738942187161,-0.811690261416196,-1.81295081967213,0.317482813326283,-0.297092661143424,-0.69453184675951,-0.567803665134427,-0.848303400724088,0.276888743761786,-0.343927559458288,-0.73823704527264,1.0974482347224,0.324384393518456,-0.151103160689988,0.0481869234995839,-1.61223479033891
1967-07-01,-0.954178280503406,-0.971169933315092,-1.54124591016745,-2.18347026345762,-2.31597571766653,-2.40423844717024,-2.43004831855363,-2.23224282509813,-2.31045748576936,-1.62368070044134,-2.49726775956284,-0.28213907985193,-0.941297373523703,-1.02384100123392,-0.876243237196405,-0.83173592184318,0.42308367076463,-0.368392105390065,-0.637633495062782,0.773695107459917,1.10158815180662,0.129858950615461,-0.435062971245798,-2.36942487448866
1967-10-01,-0.518524691544012,-0.54860195134696,-1.13059521673275,-1.77453353959244,-1.90735885942896,-1.99583404354026,-1.65479345057936,-1.70152026672337,-2.00167663972122,-1.69304580959089,-2.08907103825137,0.146192490745637,-0.570957165520884,-0.427678807509263,-0.368870611804855,-0.0931962552038712,-0.066512416998338,0.106460998770591,-0.574744818124919,0.286171969731346,0.691608947284386,0.950671793584518,-0.0829357705765989,-1.96067997016977
1968-01-01,-0.078646929325906,-0.107392804209137,-0.669146389648862,-1.30422371555278,-1.43565159456384,-1.52324272473344,-1.85699863668274,-1.63712179723968,-1.76391348697388,-1.57658847869757,-1.60754098360656,0.60916975145426,-0.219850755038483,0.111115334332208,-0.0617891429035851,0.462279141072745,-0.13117093250107,-0.519687908739846,-0.0685742482812947,0.33736531738037,0.152846563386925,0.500174453993042,0.728649233826185,-1.59858388461984
1968-04-01,0.354724559190608,0.341594958332298,-0.1639136442056,-0.773915134822371,-0.90102369592141,-0.985827400925896,-1.16623214253288,-1.36319434905883,-1.48414174952607,-0.867405767179005,-1.04234972677596,1.07193283976732,0.134447382337388,0.549623215230035,0.103603709880822,0.850944843319681,-0.168980061911289,0.25457742834432,-0.46592465794931,0.126298379430053,0.381444582465137,0.190831610108415,0.548104343849448,-1.40367430808444
1968-07-01,0.133114789270643,0.125305278851936,-0.325295223910857,-0.877396808492449,-0.992572045101973,-1.06942711986557,-1.41580697052525,-1.50262170707623,-1.42324943071263,-1.03971887771882,-1.11349726775957,0.784590163934428,-0.0534014924496162,0.264862984017864,-0.170577889191723,0.633731669242771,0.14876959931075,-0.168613026771352,0.27422000319044,-0.084556225470121,0.185269157228194,0.342545424556095,0.174879744293648,-1.5476233914384
