"date","c.hp","c.hp3k","c.hp25k","c.hp125k","c.hp221k","c.hp400k","c.hamilton13","c.hamilton20","c.hamilton24","c.hamilton28","c.linear","c.quad","c.poly3","c.poly4","c.poly5","c.poly6","c.bn2","c.bn3","c.bn4","c.bn5","c.bn6","c.bn7","c.bn8","c.stm","c.ma"
1975-10-01,-2.53638187187966,-2.71578210353185,-0.428155854194074,2.11251514177285,2.63860862981103,2.99029054063845,-9.31837053874148,-2.380132629458,-1.06471763806864,3.41411524035594,3.32051824431517,-4.32986829845635,-4.79877914809499,-0.356888228993,4.87102096299608,2.34368658780724,-0.0812299961735642,0.0521913511307482,-0.219869664421556,-0.165987915747145,0.120770059578785,-0.0807011003957979,-0.318534866394233,3.55400935308177,5.89999999999999
1976-01-01,-5.55699721200268,-5.96971962708231,-4.34305291203763,-1.96796256716611,-1.45369693651357,-1.10627788056433,-14.5799909391153,-7.35001948799729,-4.14591275138764,-2.06977415401504,-0.77434715821812,-8.00562596006145,-7.58353642325415,-2.44403378879184,2.71696370953705,-0.0696234244409766,0.0611809053390918,0.049096400888868,-1.26175797267605,1.17318887745576,-0.330010963926555,0.375684787039194,-2.97884942938332,-0.568373930186652,1.88124999999999
1976-04-01,-6.40859492869001,-7.07153514643339,-6.2067913927275,-4.06995885599935,-3.58193262080896,-3.24825173991356,-16.4968084078794,-11.2934170548231,-7.43687917644036,-5.00377123523543,-2.9265376984127,-9.59894688644688,-8.18436840936843,-2.32901797621938,2.75335029782171,-0.269286748241456,-0.183878907323867,0.196523916820015,-2.17564285914812,0.490976046596534,0.989513120792992,0.0276621048830937,-1.35999639095305,-2.70508212803834,-0.112500000000011
1976-07-01,-7.42581424973972,-8.35980099779196,-8.37108192038069,-6.55726444644229,-6.1132563717984,-5.80525366936251,-12.1693968373274,-10.4702476980625,-17.7826397840485,-10.6686182961411,-5.50927884615385,-11.4610270979021,-8.93348032564451,-2.32629796948005,2.68498433383712,-0.534028955332545,-0.356087946338042,-0.196578602400103,-2.73098726673178,0.492885797182832,0.36444673294159,1.25223422319535,-1.82302588325048,-5.2172544987768,-2.46875000000001
1976-10-01,0.0812893321968744,-0.860556103157975,-1.14100436473345,0.589179298173931,1.03330770259255,1.3449526178083,-6.45227608721034,-3.4214653658135,-5.77853620328376,-5.43419214544119,1.65244755244755,-4.15612149044985,-1.34941790430814,4.95499415269607,8.75809603459116,4.25285520421893,-0.189268722850834,-0.0370030130602108,1.52829832663851,-1.77305569608935,0.791464448467856,0.0430906572092713,1.92762497323293,1.87604251006489,5.0625
1977-01-01,-3.67223347111691,-4.72881281759611,-5.57489600632029,-4.08595682882168,-3.67344985419813,-3.37946278997191,-14.8075131980852,-8.07679384653218,-10.8686411345765,-14.4385501556557,-3.08805970149253,-8.41330513209354,-4.91578529116798,1.57034115634326,4.80876185498272,-0.126718118476376,-0.693663489853855,0.462059497428546,-1.3040768850399,2.59722263835186,-2.89102697443754,0.82877138875413,-2.26042654363753,-2.83121024674502,0.818749999999994
1977-04-01,-6.99059966517832,-8.2582647115636,-9.95006482810477,-8.8635002452101,-8.51720892433879,-8.26463114864691,-12.6325566629213,-13.0903842257279,-15.0104962674385,-16.3202426018452,-8.02124670763827,-12.5337099667901,-7.98267740580981,-0.941431741189575,2.17095041524485,-2.67787196347375,1.16537934516365,-0.448863902394433,-3.6337265263184,1.16380869522723,1.92185376558542,-2.25182645474452,-4.48310400456657,-7.61753823446513,-3.75
1977-07-01,-5.96963409977562,-7.40222123565744,-9.8683148850064,-9.19083575373575,-8.91591574479989,-8.70891551289708,-7.7524931254363,-19.2349700057934,-12.1367745419363,-17.3582194738726,-8.52033248081841,-12.2308092802339,-6.73031848379279,0.663241597925094,3.41987100756801,-1.57106713395441,0.570990082145906,1.69040365426155,-2.2798248222321,-2.09228407161252,0.947131961199636,2.83607917698891,-7.12396968224903,-7.95139669059928,-3.825
1977-10-01,-1.02277299295186,-2.44266433474969,-5.26857993360093,-4.84269721361255,-4.61032850557463,-4.42975346344545,-4.54729980797261,-15.6669573166531,-6.2638686439231,-11.2411535888455,-4.27122153209109,-7.52412737293325,-1.59770701503706,5.48642241910198,7.20399205755618,1.43018285260224,-0.36231418464789,1.2206404766808,-0.712630956327231,-1.68525508763405,-2.25376526110992,1.20137885654395,-0.199945450988332,-3.63253343842919,1.23125
1978-01-01,-3.2808347261215,-4.74816807840156,-8.0965396109731,-8.02635674475648,-7.8614118004672,-7.7250159754513,-10.1442264707303,-17.7899960947389,-10.5655236985122,-10.2868085250803,-7.62177062374246,-10.2098490945674,-3.62913747324127,3.41771615128255,4.49661518313872,-1.51455366584386,-0.241843951602865,-0.223502443826023,-1.82925242374233,1.08045421448543,-1.9746356972266,-1.66286511405589,-0.823794099827535,-6.82697782659613,-1.47500000000001
1978-04-01,-1.41519525215632,-2.85686304750735,-6.55405724844873,-6.7870112236199,-6.68207828854365,-6.58546311214289,-5.31244719693794,-13.3137644240365,-12.0998745061603,-9.01870474847712,-6.53274647887324,-8.56701717152228,-1.53162617566441,5.22923234830425,5.46609256407548,-0.921453186079532,0.545826655086513,-0.322032960590599,0.13804730995186,-0.58299482744658,0.790268187057653,-1.86985883576625,-2.45380696423713,-5.60534148014742,0.0250000000000057
