"id","date","credit_gap","crisis"
"144","AT",2017-10-01,-8.6,0
"145","AU",2000-01-01,2.5,0
"146","AU",2000-04-01,4.1,0
"147","AU",2000-07-01,4.1,0
"148","AU",2000-10-01,6.6,0
"149","AU",2001-01-01,7.9,0
"150","AU",2001-04-01,5.7,0
"151","AU",2001-07-01,5.8,0
"152","AU",2001-10-01,3.7,0
"153","AU",2002-01-01,2.7,0
"154","AU",2002-04-01,5.2,0
"155","AU",2002-07-01,6.9,0
"156","AU",2002-10-01,6.4,0
"157","AU",2003-01-01,5.9,0
"158","AU",2003-04-01,7.5,0
"159","AU",2003-07-01,7.6,0
"160","AU",2003-10-01,9.7,0
"161","AU",2004-01-01,9,0
"162","AU",2004-04-01,9.9,0
"163","AU",2004-07-01,9.8,0
"164","AU",2004-10-01,11,0
"165","AU",2005-01-01,10.8,0
"166","AU",2005-04-01,13.6,0
"167","AU",2005-07-01,14.2,0
"168","AU",2005-10-01,15.5,0
"169","AU",2006-01-01,14.6,0
"170","AU",2006-04-01,16.5,0
"171","AU",2006-07-01,17.3,0
"172","AU",2006-10-01,17.3,0
"173","AU",2007-01-01,16,0
"174","AU",2007-04-01,16.6,0
"175","AU",2007-07-01,18,0
"176","AU",2007-10-01,17.7,0
"177","AU",2008-01-01,16.8,0
"178","AU",2008-04-01,14.8,0
"179","AU",2008-07-01,12.5,0
"180","AU",2008-10-01,10.9,0
"181","AU",2009-01-01,7.1,0
"182","AU",2009-04-01,4.2,0
"183","AU",2009-07-01,3.8,0
"184","AU",2009-10-01,3.3,0
"185","AU",2010-01-01,1.7,0
"186","AU",2010-04-01,-0.9,0
"187","AU",2010-07-01,-4.6,0
"188","AU",2010-10-01,-9.1,0
"189","AU",2011-01-01,-11,0
"190","AU",2011-04-01,-13.3,0
"191","AU",2011-07-01,-13.3,0
"192","AU",2011-10-01,-14.9,0
"193","AU",2012-01-01,-15.3,0
"194","AU",2012-04-01,-14.4,0
"195","AU",2012-07-01,-14.3,0
"196","AU",2012-10-01,-13.8,0
"197","AU",2013-01-01,-13.7,0
"198","AU",2013-04-01,-10.9,0
"199","AU",2013-07-01,-11.3,0
"200","AU",2013-10-01,-9.6,0
"201","AU",2014-01-01,-10.7,0
"202","AU",2014-04-01,-9.1,0
"203","AU",2014-07-01,-7,0
"204","AU",2014-10-01,-5,0
"205","AU",2015-01-01,-1.5,0
"206","AU",2015-04-01,0.1,0
"207","AU",2015-07-01,2,0
"208","AU",2015-10-01,2,0
"209","AU",2016-01-01,2.6,0
"210","AU",2016-04-01,2.9,0
"211","AU",2016-07-01,1.8,0
"212","AU",2016-10-01,-0.6,0
"213","AU",2017-01-01,-4.7,0
"214","AU",2017-04-01,-5.5,0
"215","AU",2017-07-01,-7.6,0
"216","AU",2017-10-01,-7.5,0
"217","BE",2000-01-01,18.1,0
"218","BE",2000-04-01,18.6,0
"219","BE",2000-07-01,19.2,0
"220","BE",2000-10-01,20.2,0
"221","BE",2001-01-01,19.2,0
"222","BE",2001-04-01,19.5,0
"223","BE",2001-07-01,18.4,0
"224","BE",2001-10-01,18.7,0
"225","BE",2002-01-01,15.8,0
"226","BE",2002-04-01,13.7,0
"227","BE",2002-07-01,11.4,0
"228","BE",2002-10-01,9.2,0
"229","BE",2003-01-01,6.8,0
"230","BE",2003-04-01,8.3,0
"231","BE",2003-07-01,8.8,0
"232","BE",2003-10-01,9.9,0
"233","BE",2004-01-01,9.1,0
"234","BE",2004-04-01,8,0
"235","BE",2004-07-01,7.2,0
"236","BE",2004-10-01,6.9,0
"237","BE",2005-01-01,4.9,0
"238","BE",2005-04-01,3.6,0
"239","BE",2005-07-01,1.8,0
"240","BE",2005-10-01,0.4,0
"241","BE",2006-01-01,-0.5,0
"242","BE",2006-04-01,-0.3,0
"243","BE",2006-07-01,-0.5,0
"244","BE",2006-10-01,-1.5,0
"245","BE",2007-01-01,0.3,0
"246","BE",2007-04-01,1.9,0
"247","BE",2007-07-01,3.7,0
"248","BE",2007-10-01,4.7,1
"249","BE",2008-01-01,7.7,1
"250","BE",2008-04-01,10.8,1
"251","BE",2008-07-01,13.7,1
"252","BE",2008-10-01,19.3,1
"253","BE",2009-01-01,22.1,1
"254","BE",2009-04-01,23,1
"255","BE",2009-07-01,23.3,1
"256","BE",2009-10-01,21.6,1
"257","BE",2010-01-01,15.3,1
"258","BE",2010-04-01,12.3,1
"259","BE",2010-07-01,5.9,1
"260","BE",2010-10-01,0.4,1
"261","BE",2011-01-01,0.9,1
"262","BE",2011-04-01,3.1,1
"263","BE",2011-07-01,3.3,1
"264","BE",2011-10-01,4.5,1
"265","BE",2012-01-01,7.1,1
"266","BE",2012-04-01,8.7,1
"267","BE",2012-07-01,7.1,1
"268","BE",2012-10-01,2.4,1
"269","BE",2013-01-01,3.9,0
"270","BE",2013-04-01,5.4,0
"271","BE",2013-07-01,-1.2,0
"272","BE",2013-10-01,-4,0
"273","BE",2014-01-01,-10.7,0
"274","BE",2014-04-01,-9.2,0
"275","BE",2014-07-01,-8.1,0
"276","BE",2014-10-01,-5.9,0
"277","BE",2015-01-01,1.8,0
"278","BE",2015-04-01,-8.6,0
"279","BE",2015-07-01,-3.6,0
"280","BE",2015-10-01,-8.3,0
"281","BE",2016-01-01,6.1,0
"282","BE",2016-04-01,9,0
"283","BE",2016-07-01,6.7,0
"284","BE",2016-10-01,4.9,0
"285","BE",2017-01-01,-1.6,0
