Cycle,BIC,AIC,AUC,psAUC,c.Threshold,Type I,Type II,Policy Loss Function,,,,,,,,,,,,
c.bn415,-89.6147,-95.9975,0.6669,0.6217,1.6967,0.4811,0.2994,0.3211,5.7208,0.6462,0.1209,0.3836,12.4763,0.7547,0.043,0.2565,1.3532,0.4623,0.3311,0.4229
c.bn615,-54.9953,-61.3781,0.6756,0.6199,1.0748,0.4623,0.3299,0.3225,6.9105,0.684,0.0755,0.3797,12.9054,0.7358,0.0298,0.2416,1.0748,0.4623,0.3299,0.4226
c.bn720,-154.951,-161.3338,0.655,0.6195,1.2443,0.4858,0.32,0.3385,7.2666,0.6887,0.0772,0.3829,16.4361,0.7783,0.019,0.2468,1.1789,0.4811,0.3289,0.4355
c.ma1,-120.8108,-127.1936,0.6922,0.6185,7.2125,0.4057,0.3263,0.271,7.2125,0.4057,0.3263,0.366,18.2188,0.7689,0.0474,0.2638,7.2125,0.4057,0.3263,0.3818
c.hamilton13_panelr15,-125.3568,-131.7396,0.6923,0.6181,9.0623,0.3868,0.3313,0.2594,9.0623,0.3868,0.3313,0.3591,34.4248,0.8632,0.0127,0.2679,9.0623,0.3868,0.3313,0.3702
c.bn7,-160.3839,-166.7666,0.6535,0.6176,1.1057,0.4858,0.3333,0.3471,4.5064,0.6509,0.1152,0.3831,20.2986,0.8208,0.0065,0.2508,1.1057,0.4858,0.3333,0.4401
c.hp221k1,-106.8842,-113.267,0.6656,0.6158,5.4702,0.4387,0.3212,0.2956,5.7436,0.4481,0.3092,0.3787,16.9324,0.7264,0.0527,0.2548,5.4702,0.4387,0.3212,0.4034
c.linear20,-91.4148,-97.7975,0.6521,0.6103,5.4214,0.4528,0.3241,0.3101,5.4214,0.4528,0.3241,0.3885,20.2054,0.7311,0.0596,0.2611,5.2274,0.4481,0.3306,0.4129
c.hamilton28t1,-65.7455,-72.1283,0.6478,0.6073,8.8777,0.4434,0.2991,0.2861,9.1116,0.4481,0.2938,0.371,35.546,0.816,0.0332,0.268,7.7123,0.4292,0.3263,0.3984
c.bn3,-132.9769,-139.3596,0.6415,0.6062,0.6113,0.4906,0.3256,0.3466,7.5398,0.7642,0.0236,0.3939,7.5398,0.7642,0.0236,0.2457,0.6113,0.4906,0.3256,0.4411
c.hp400k20,-88.845,-95.2277,0.6545,0.6034,5.7848,0.4575,0.3328,0.3201,5.7848,0.4575,0.3328,0.3952,19.3748,0.7689,0.045,0.2621,5.7848,0.4575,0.3328,0.4201
c.hp125k1,-92.2897,-98.6725,0.6562,0.6022,4.9707,0.4575,0.3301,0.3183,5.7083,0.4858,0.2897,0.3878,16.5475,0.7689,0.043,0.2608,4.9707,0.4575,0.3301,0.4193
c.hp221k20,-87.5537,-93.9364,0.653,0.602,5.4956,0.4575,0.3316,0.3193,5.7979,0.4717,0.3169,0.3943,18.3447,0.7736,0.0435,0.2625,5.4956,0.4575,0.3316,0.4198
c.bn715,-122.8232,-129.206,0.6297,0.6018,1.6143,0.5566,0.2719,0.3838,11.8823,0.7547,0.0325,0.3936,11.8823,0.7547,0.0325,0.2491,1.1659,0.5283,0.3289,0.4685
c.stm15,-79.5531,-85.9358,0.6575,0.6009,5.0449,0.4245,0.3251,0.2859,5.0449,0.4245,0.3251,0.3748,20.1811,0.8302,0.0202,0.2632,5.0449,0.4245,0.3251,0.3947
c.stm1,-89.2228,-95.6055,0.6523,0.5995,4.6891,0.4623,0.3333,0.3247,4.6891,0.4623,0.3333,0.3978,17.3153,0.8019,0.0289,0.2608,4.6891,0.4623,0.3333,0.4236
c.stm20,-87.2179,-93.6006,0.6482,0.599,4.964,0.4811,0.3224,0.3355,12.6566,0.717,0.0858,0.4014,17.1512,0.7972,0.0313,0.261,4.7957,0.4764,0.3308,0.4327
c.hp125k20,-84.2975,-90.6802,0.6501,0.5989,5.714,0.4858,0.2989,0.3254,5.714,0.4858,0.2989,0.3924,17.7771,0.7972,0.0329,0.2622,4.9707,0.467,0.3325,0.4266
c.hamilton24t1,-43.1792,-49.5619,0.6306,0.5841,8.2001,0.4764,0.314,0.3256,9.1522,0.5,0.2888,0.3944,31.1126,0.8255,0.037,0.2736,7.5312,0.467,0.3304,0.426
c.hp400k15,-67.1228,-73.5055,0.6472,0.5834,5.2466,0.4387,0.3308,0.3019,5.4921,0.4481,0.3191,0.3836,20.0138,0.8255,0.0255,0.2655,5.2466,0.4387,0.3308,0.4063
c.linear15,-66.3472,-72.73,0.6474,0.5828,5.8143,0.4528,0.315,0.3043,5.8143,0.4528,0.315,0.3839,20.7238,0.8255,0.0262,0.266,5.4759,0.4434,0.3299,0.4093
c.hp221k15,-66.8626,-73.2454,0.6461,0.5827,5.1325,0.434,0.3282,0.296,5.1325,0.434,0.3282,0.3811,19.4444,0.8255,0.0257,0.2657,5.1325,0.434,0.3282,0.4022
c.hp125k15,-66.227,-72.6097,0.6442,0.5808,4.8387,0.4528,0.3323,0.3155,4.8387,0.4528,0.3323,0.3926,16.4266,0.7972,0.0373,0.2652,4.8387,0.4528,0.3323,0.4167
c.hp25k20,-57.3778,-63.7606,0.6289,0.5792,3.8128,0.5377,0.3265,0.3958,12.5892,0.7925,0.0365,0.4145,13.8532,0.8113,0.0245,0.2606,3.8128,0.5377,0.3265,0.4744
c.hp25k1,-56.0388,-62.4215,0.6274,0.5788,4.0354,0.5472,0.314,0.398,12.5098,0.7925,0.0365,0.4145,13.8322,0.8113,0.0257,0.2614,4.0354,0.5472,0.314,0.4772
c.hp25k15,-55.8805,-62.2632,0.6275,0.5776,3.7725,0.533,0.3306,0.3934,12.4001,0.7925,0.0392,0.4158,13.5809,0.8113,0.026,0.2616,3.7725,0.533,0.3306,0.4723
c.hamilton24t20,-16.7597,-23.1425,0.5934,0.5723,7.148,0.533,0.3066,0.3781,10.6739,0.5943,0.2147,0.4045,28.9608,0.9057,0.0279,0.2912,6.4322,0.5189,0.3328,0.463
c.hp3k15,-24.5664,-30.9492,0.5978,0.5686,2.4141,0.5377,0.2998,0.3791,2.4141,0.5377,0.2998,0.4188,6.9262,0.8208,0.0608,0.2888,2.4141,0.5377,0.2998,0.4664
c.hp3k20,-24.5252,-30.908,0.5978,0.5684,2.408,0.5377,0.2996,0.3789,2.408,0.5377,0.2996,0.4187,6.8842,0.8208,0.0618,0.2895,2.408,0.5377,0.2996,0.4663
c.hp3k1,-24.5546,-30.9374,0.5979,0.5683,2.4117,0.5377,0.2994,0.3788,2.4117,0.5377,0.2994,0.4185,6.8834,0.8208,0.0618,0.2895,2.4117,0.5377,0.2994,0.4662
c.hamilton28t20,-11.7468,-18.1296,0.584,0.5664,7.6812,0.5283,0.3097,0.375,7.6812,0.5283,0.3097,0.419,35.3364,0.934,0.0161,0.2915,7.6812,0.5283,0.3097,0.4627
c.hp15,-19.0881,-25.4709,0.597,0.5654,1.8831,0.533,0.3061,0.3778,2.3151,0.5708,0.2616,0.4162,11.4093,0.967,0.0063,0.2945,1.8831,0.533,0.3061,0.4649
c.hp1,-19.0659,-25.4486,0.5969,0.5653,1.8776,0.533,0.3073,0.3785,2.3108,0.5708,0.2621,0.4164,11.4148,0.967,0.0063,0.2945,1.8776,0.533,0.3073,0.4653
c.hp20,-19.0587,-25.4414,0.5968,0.5653,1.8776,0.533,0.3073,0.3785,2.3108,0.5708,0.2621,0.4164,11.4126,0.967,0.0063,0.2945,1.8776,0.533,0.3073,0.4653
c.hamilton20t1,-33.8049,-40.1876,0.6258,0.5643,7.7055,0.5236,0.3229,0.3784,7.7055,0.5236,0.3229,0.4232,25.9506,0.8349,0.0491,0.2848,7.7055,0.5236,0.3229,0.4634
c.hamilton28t15,0.7127,-5.67,0.5323,0.5511,5.1861,0.5991,0.3333,0.4699,9.3715,0.6887,0.1887,0.4387,28.1575,0.9528,0.0113,0.2938,5.1861,0.5991,0.3333,0.5193
c.hamilton24t15,-4.7005,-11.0832,0.5536,0.5422,4.3661,0.6132,0.3318,0.4861,12.4813,0.7972,0.1,0.4486,27.4966,0.9575,0.0084,0.2932,4.3661,0.6132,0.3318,0.5288
c.hamilton13t1,-23.7688,-30.1516,0.6075,0.539,5.9197,0.5283,0.3289,0.3873,5.9197,0.5283,0.3289,0.4286,24.2892,0.8915,0.0317,0.2897,5.9197,0.5283,0.3289,0.4685
c.hamilton20t20,-15.697,-22.0798,0.5856,0.5372,6.4446,0.5236,0.3287,0.3822,6.4446,0.5236,0.3287,0.4261,41.0734,0.9717,0.0041,0.2944,6.4446,0.5236,0.3287,0.4651
c.hamilton20t15,-8.1408,-14.5236,0.5694,0.5319,5.3007,0.6274,0.3147,0.4926,11.5594,0.7877,0.1387,0.4632,23.9596,0.934,0.0214,0.2952,5.3007,0.6274,0.3147,0.5336
c.quad20,-8.6634,-15.0462,0.5998,0.5218,4.1408,0.5283,0.3313,0.3889,4.1408,0.5283,0.3313,0.4298,-1.8091,1,0,0.3,4.1408,0.5283,0.3313,0.4692
c.hamilton13t20,-12.7829,-19.1656,0.5784,0.5165,5.8053,0.5849,0.3289,0.4503,5.8053,0.5849,0.3289,0.4569,27.648,0.9387,0.0166,0.2932,5.8053,0.5849,0.3289,0.5081
c.poly615,3.4063,-2.9765,0.5838,0.5146,-0.8039,0.5236,0.3325,0.3847,-0.8039,0.5236,0.3325,0.4281,-1.263,1,0,0.3,-0.8039,0.5236,0.3325,0.4663
c.hamilton13t15,-9.1298,-15.5126,0.5648,0.5021,4.8848,0.6509,0.3325,0.5343,22.9896,0.9292,0.0166,0.4729,24.2937,0.9387,0.0113,0.2895,4.8848,0.6509,0.3325,0.5554
c.poly3,5.5099,-0.8728,0.5551,NA,4.1624,0.5943,0.3183,0.4546,4.1624,0.5943,0.3183,0.4563,-3.0019,1,0,0.3,3.9617,0.5896,0.3272,0.5109
